"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","arena1","arena2","ascv","c_b_cys","ce_sha","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","ku_thy","lo_sal","mo_vis","my_arc","my_ins","na_sal","ne_per","nu_sal","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","pisck_sal","prv","pspv","re_sal","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","ver","vhsv","vi_sal","ye_ruc","season2","Date2","jd","ocean_yr","jd2","mo_yr"
"40","1000-0167-118-A0031",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",72,3.9,1.044881687,-2.980932882,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",1.1e+12,0,0,0,11462.75733,0,0,0,0,0.130557397,0,0,0,0,0,0,0,0,0.92686837,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"41","1000-0167-118-A0066",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",77,4.1,0.898073086,-3.046688319,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",5463.596634,NA,NA,NA,117.3309936,0,NA,0,NA,0,0,0,0,0.312023575,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.277989682,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"42","1000-0167-118-A0050",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",83,4.7,0.82198441,-3.085136419,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",3513008.693,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"43","1000-0167-118-A0049",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",87,5.5,0.835227782,-3.078195068,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",21320.13062,NA,NA,NA,156.8404629,0.409944169,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"44","1000-0167-118-A0013",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",89,6,0.851101254,-3.07001877,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",4.96e+12,0,NA,0,10127.30733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1.150043209,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"45","1000-0167-118-A0030",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",87,6.1,0.92634354,-3.033227923,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",5740002.651,0,NA,0,7.710393998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"46","1000-0167-118-A0019",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",90,6.1,0.836762689,-3.077397693,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",1.64e+11,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"47","1000-0167-118-A0002",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",91,6.1,0.809479133,-3.091794342,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",0.136685364,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"48","1000-0167-118-A0048",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",89,6.2,0.879471296,-3.05577833,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",195.9274574,NA,NA,NA,312.6318862,0,NA,0,NA,0,0,0,0,0.314907899,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"49","1000-0167-118-A0037",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",91,6.2,0.822749283,-3.084732487,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",9.22e+12,0,0,0,8149.000218,0,0,0,0,0,0,0,0,0,0,0,0,0,405.0532006,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937687797,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"50","1000-0167-118-A0046",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",87,6.3,0.956715459,-3.019217208,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",29.90002533,NA,NA,NA,70.17966554,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"51","1000-0167-118-A0023",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",94,6.5,0.782581894,-3.106470204,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",6e+12,0,0,0,1001.13996,0,0,0,0,0,0,0,0,0.394413599,0,0,0,0,1.169973875,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"52","1000-0167-118-A0036",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",91,6.7,0.889100032,-3.051049374,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",62.15635758,NA,NA,NA,39.33676144,0,NA,0,NA,0,0,0,0,0.620269436,0,0,0,0,6.956437866,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"53","1000-0167-118-A0014",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",92,6.7,0.860421632,-3.065288679,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",7831.904245,NA,NA,NA,1680.368231,0,NA,0,NA,0,0,21.83891842,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2.271893273,0,0,0,NA,2684.046182,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"54","1000-0167-118-A0015",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",94,6.8,0.818701059,-3.086874648,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",4718.210174,NA,NA,NA,3069.423037,0,NA,0,NA,0,0,0,0,1.043294182,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"55","1000-0167-118-A0054",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",98,7,0.743737728,-3.128580187,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",1334.28363,NA,NA,NA,553.0811852,0,NA,0,NA,0,0,0,0,0.559662536,0,0,0,0,5.134783197,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"56","1000-0167-118-A0010",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",94,7.2,0.866859944,-3.062051064,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",77105.6609,NA,NA,NA,27.32687067,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"57","1000-0167-118-A0034",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",94,7.5,0.902979109,-3.044322297,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",1.49e+21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"58","1000-0167-118-A0040",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",96,7.5,0.847710503,-3.071752436,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",3.27e+17,0,NA,0,277977.6342,0,0,0,0,0,0,21.94531729,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.280115067,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
"59","1000-0167-118-A0060",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",94,7.6,0.91501883,-3.038569969,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",0.003400825,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,"SpSu",0012-04-03 02:56:56,"094",2011,"459","0012-04"
