"","hkg_Alert","Unique","Fish","Alternate","Prog","Species","Trip","Location","SWFW","Year","Date","SEASON1","Stock","Stock_over_60Prob_calc","Condition","Histology","SmAd","HW","HatcheryWild","Set","STATION","STATION_NAME","Length","Mass","Sex","Comments","Comments2","Dissection.Comments","Gear","catch_R","Catch_Sub_region","Catch_Region","Latitude","Longitude","Unique1","Tissue","LOD","Value","arena1","arena2","ascv","c_b_cys","ce_sha","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","hkg","ic_hof","ic_mul","ihnv","ku_thy","lo_sal","mo_vis","my_arc","my_ins","na_sal","ne_per","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","pisck_sal","prv","pspv","re_sal","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","ver","vhsv","vi_sal","season2","Date2","jd","ocean_yr","jd2","mo_yr","fl","ref_date","day","SST","temp_devs"
"3612","OK","1000-0018-118-0477","477","HS200815-H01-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/9/2008","Fall","Great Central","Great Central","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-H01","H01","HECATE ST",185,62,"M","","","","MID-WATER TRAWL","P107","QCS","Northern",52.206,-129.191,"1000-0018-118-0477","Mixed","NO","AvgCopy",0,0,0,11442.72071,0,0,0,0,0,0,0,0.002861445,0,0,0,0,0,NA,2095245.816,0,0,0,0,0,598.8724617,8.636139403,0,0,0,0,0,0,0,0,0.711954255,0,0,0,0,0,0,0,"FaWi",2008-10-09 03:00:00,"283",2008,"283","2008-10",185,"2008-10",9,11.3424555969238,-0.121350262959798
"3613","OK","1000-0018-118-0481","481","HS200815-H01-118-005","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/9/2008","Fall","Weaver","Weaver","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-H01","H01","HECATE ST",181,50,"M","","","","MID-WATER TRAWL","P107","QCS","Northern",52.206,-129.191,"1000-0018-118-0481","Mixed","NO","AvgCopy",0,0,0,24943.68703,0,0,0,0,0,0,0,0.12134751,0,0,0,0,0,NA,1548164.634,0,0,0,0,0,0.073001337,0,0,0,0,33.15369135,0,0,0,0,0,0,0,0,2.896802396,0,0,0,"FaWi",2008-10-09 03:00:00,"283",2008,"283","2008-10",181,"2008-10",9,11.3424555969238,-0.121350262959798
"3614","OK","1000-0018-118-0484","484","HS200815-H01-118-008","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/9/2008","Fall","Vernon L","Vernon L","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-H01","H01","HECATE ST",183,59,"F","","","","MID-WATER TRAWL","P107","QCS","Northern",52.206,-129.191,"1000-0018-118-0484","Mixed","NO","AvgCopy",0,NA,0,3267.874423,0,0,0,0,0,0,0,0.027261256,0,0,0,0,0,NA,1488149.949,0,0,0,0,0,0.785909471,0,0,0,0,0,0,0,0,0,0,0,1.364248349,0,0,0,0,0,"FaWi",2008-10-09 03:00:00,"283",2008,"283","2008-10",183,"2008-10",9,11.3424555969238,-0.121350262959798
"3615","OK","1000-0018-118-0485","485","HS200815-H03-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/9/2008","Fall","Vernon L","Vernon L","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-H03","H03","HECATE ST",156,40,"F","","","","MID-WATER TRAWL","P106","HS","Northern",52.318,-129.715,"1000-0018-118-0485","Mixed","NO","AvgCopy",0,0,0,135.2790286,0,0,0,0,0,0,0,0.022657856,128.9530403,0,0,0,0,NA,17.34615387,0,0,0,0,0,734.1004455,17.16892085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-09 03:00:00,"283",2008,"283","2008-10",156,"2008-10",9,11.2187995910645,-0.256537914276123
"3616","OK","1000-0018-118-0486","486","HS200815-H03-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/9/2008","Fall","Dallery","Low % Probability","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-H03","H03","HECATE ST",166,48,"M","","","","MID-WATER TRAWL","P106","HS","Northern",52.318,-129.715,"1000-0018-118-0486","Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,0,0.012967611,28.59987354,0,0,0,0,NA,4353118.833,0,0,0,0,0,2422.006677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-09 03:00:00,"283",2008,"283","2008-10",166,"2008-10",9,11.2187995910645,-0.256537914276123
"3617","OK","1000-0018-118-0488","488","HS200815-H03-118-004","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/9/2008","Fall","Great Central","Great Central","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-H03","H03","HECATE ST",164,41,"F","","","","MID-WATER TRAWL","P106","HS","Northern",52.318,-129.715,"1000-0018-118-0488","Mixed","NO","AvgCopy",0,0,0,145.7004562,0,0,0,0,0,0,0,0.636147171,0,0,0,0,0,NA,4382942.027,0,0,0,0,0,393.4312533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-09 03:00:00,"283",2008,"283","2008-10",164,"2008-10",9,11.2187995910645,-0.256537914276123
"3618","OK","1000-0018-118-0501","501","HS200815-H06-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/9/2008","Fall","U Horsefly","Low % Probability","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-H06","H06","HECATE ST",190,69,"F","","","","MID-WATER TRAWL","P102","HS","Northern",52.485,-130.508,"1000-0018-118-0501","Mixed","NO","AvgCopy",0,0,0,17561.44261,0,0,0,0,0,0,0,0.013285199,0,0,0,0,0,NA,584804.7959,0,0,0,0,13031.26067,20579.88799,5158.582556,0,0,0,175.0922524,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-09 03:00:00,"283",2008,"283","2008-10",190,"2008-10",9,10.8407806396484,-0.527978261311855
"3619","OK","1000-0018-118-0506","506","HS200815-H06-118-007","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/9/2008","Fall","Amback","Low % Probability","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-H06","H06","HECATE ST",175,54,"F","","","","MID-WATER TRAWL","P102","HS","Northern",52.485,-130.508,"1000-0018-118-0506","Mixed","NO","AvgCopy",0,0,0,0,0,NA,0,0,0,0,0,3.324728966,0,0,0,0,0,NA,127143.112,0,0,0,0,0,488.3913188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-09 03:00:00,"283",2008,"283","2008-10",175,"2008-10",9,10.8407806396484,-0.527978261311855
"3620","OK","1000-0018-118-0580","580","HS200815-ISEA06-118-003","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/11/2008","Fall","Great Central","Great Central","L","Y","Juvenile","W","Wild","1000-0018-S-HS200815-ISEA06","ISEA06","SE ALASKA - ERNEST SD",196,74,"F","Hyst sample","","","MID-WATER TRAWL","AK","AK","AK",55.864,-132.178,"1000-0018-118-0580","Mixed","NO","AvgCopy",0,0,0,857.8476421,0,0,0,0,0,0,0,0.261870531,0,0,0,0,0,NA,3.660996591,0,0,0,0,0,15308.96384,5.888760651,0,0,0,0,0,0,0.89416648,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-11 03:00:00,"285",2008,"285","2008-10",196,"2008-10",11,9.33649597167969,-0.347574081420898
"3621","OK","1000-0018-118-0691","691","HS200815-ISEA22-118-009","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/15/2008","Fall","Long Lake","Long Lake","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-ISEA22","ISEA22","FREDERICK SD - GRAIND",202,86,"F","","","","MID-WATER TRAWL","AK","AK","AK",57.044,-133.107,"1000-0018-118-0691","Mixed","NO","AvgCopy",0,0,0,759.3983543,0,0,0,0,0,0,0,17.19615203,2.096677015,0,0,0,0,NA,0,0,0,0,0,0,375.3359577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-15 03:00:00,"289",2008,"289","2008-10",202,"2008-10",15,8.36651102701823,NA
