"","stock_name","brood_year","survival_index","value"
"56","Birkenhead",2006,"SR_resid",0.426723580924066
"57","Birkenhead",2007,"SR_resid",-0.19454790918767
"58","Birkenhead",2008,"SR_resid",-0.013379287228972
"59","Birkenhead",2009,"SR_resid",-0.499534786098582
"60","Birkenhead",2010,"SR_resid",-1.85839285056632
"61","Birkenhead",2011,"SR_resid",-1.04943577785258
"62","Birkenhead",2012,"SR_resid",-0.179195631517087
"63","Birkenhead",2013,"SR_resid",-1.63988297344311
"64","Birkenhead",2014,"SR_resid",-2.28348762825298
"65","Birkenhead",2015,"SR_resid",-3.91798272131614
"122","Bowron",2006,"SR_resid",0.269005219519443
"123","Bowron",2007,"SR_resid",-0.294057937455112
"124","Bowron",2008,"SR_resid",-2.0435116261669
"125","Bowron",2009,"SR_resid",-0.979039859933869
"126","Bowron",2010,"SR_resid",0.0334612526177868
"127","Bowron",2011,"SR_resid",-0.307583891656652
"128","Bowron",2012,"SR_resid",-3.61007840566052
"129","Bowron",2013,"SR_resid",-2.21273628697879
"130","Bowron",2014,"SR_resid",0.00306337200207928
"131","Bowron",2015,"SR_resid",-3.1913396187204
"188","Chilko",2006,"SR_resid",1.44569296710248
"189","Chilko",2007,"SR_resid",0.0501662692505832
"190","Chilko",2008,"SR_resid",-0.401875247825356
"191","Chilko",2009,"SR_resid",0.315737109988712
"192","Chilko",2010,"SR_resid",1.33676893034384
"193","Chilko",2011,"SR_resid",0.736484760491999
"194","Chilko",2012,"SR_resid",0.378396610849526
"195","Chilko",2013,"SR_resid",-1.60246450711582
"196","Chilko",2014,"SR_resid",0.618433332542848
"197","Chilko",2015,"SR_resid",-1.71755156245443
"254","E.Stuart",2006,"SR_resid",-0.0354158438988937
"255","E.Stuart",2007,"SR_resid",-0.281716722704092
"256","E.Stuart",2008,"SR_resid",1.05727438036544
"257","E.Stuart",2009,"SR_resid",0.521242624309486
"258","E.Stuart",2010,"SR_resid",-0.655326744328353
"259","E.Stuart",2011,"SR_resid",-3.62372295752178
"260","E.Stuart",2012,"SR_resid",-0.975108791108115
"261","E.Stuart",2013,"SR_resid",-2.26901423543184
"262","E.Stuart",2014,"SR_resid",-0.438024523737892
"263","E.Stuart",2015,"SR_resid",-2.41719052856788
"307","Fennell",2006,"SR_resid",0.268279849387004
"308","Fennell",2007,"SR_resid",-1.16899670304485
"309","Fennell",2008,"SR_resid",0.762183207261512
"310","Fennell",2009,"SR_resid",-0.184781348740583
"311","Fennell",2010,"SR_resid",-0.112312665537723
"312","Fennell",2011,"SR_resid",-2.32280522414635
"313","Fennell",2012,"SR_resid",-1.23308049997604
"314","Fennell",2013,"SR_resid",-2.67551046483245
"315","Fennell",2014,"SR_resid",-1.14569537813276
"316","Fennell",2015,"SR_resid",-2.64177551651791
"370","Gates",2008,"SR_resid",NA
"371","Gates",2009,"SR_resid",NA
"372","Gates",2010,"SR_resid",-0.620044589918579
"373","Gates",2011,"SR_resid",0.418225985212489
"374","Gates",2012,"SR_resid",-0.0134260088678968
"375","Gates",2013,"SR_resid",0.393127059657679
"376","Gates",2014,"SR_resid",-0.849226667686303
"377","Gates",2015,"SR_resid",-0.585926206271079
"434","Harrison",2006,"SR_resid",1.79805564164414
