"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","ae_hyd","ae_sal","arena1","arena2","ascv","aspv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","gy_sal","Hantavirus","ic_hof","ic_mul","IcD","ihnv","ipnv","isav7","isav8","ku_thy","lo_sal","mitov","mo_vis","my_arc","my_cer","my_ins","na_sal","ne_per","Nido2_a","nu_sal","omv","ortho","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","Picorna2_virus","pisck_sal","pmcv","prv","pspv","Qin","re_sal","reov","Rhabdo3_virus","rlo","Salmovirus","sav","sch","SGPV","smallUK","sp_des","sp_sal","te_bry","te_mar","toti","ven","ver","vhsv","vi_ang","vi_sal","ye_ruc","richness","rib"
"1129","1000-0070-118-7281",NA,"PARR","SW",2011,"5/18/11",138,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",85,NA,NA,NA,"U","VIS","ECVI",49.32546667,0,"Brain","0","AvgCopy",32056317.34,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,999329.2379,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,1,0.0102615841481466
"1130","1000-0070-118-7283",NA,"PARR","SW",2011,"5/18/11",138,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",86,NA,NA,NA,"U","VIS","ECVI",49.377,0,"Brain","0","AvgCopy",7870.832282,0,0,NA,NA,NA,0,NA,0.24841522,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,66.83994401,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,2,7.49254593810136e-07
"1131","1000-0070-118-7279",NA,"PARR","SW",2011,"5/18/11",138,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",96,NA,NA,NA,"F","VIS","ECVI",49.32546667,0,"Brain","0","AvgCopy",488776.3038,0,0,NA,NA,NA,0,NA,1.606537639,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,4326.763323,0,0,0,0,0,NA,NA,756359.9732,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,3,0.0366857192973829
"1132","1000-0070-118-7282",NA,"PARR","SW",2011,"5/18/11",138,NA,"Quesnel Horsef","Quesnel","Middle Fraser","Middle Fraser","Fraser","Spring",86,NA,NA,NA,"M","VIS","ECVI",49.32546667,0,"Brain","0","AvgCopy",557493018,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,1160.549901,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,1,1.19170739888093e-05
"1134","1000-0070-118-7287",NA,"PARR","SW",2011,"5/19/11",139,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",88,6,NA,NA,"F","VIS","ECVI",49.45766667,0,"Brain","0","AvgCopy",0.079632946,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,1149.558705,0,0,0,0,0,NA,NA,1169298.215,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,3.445076431,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,3,0.0196939936592769
"1135","1000-0070-118-7286",NA,"PARR","SW",2011,"5/19/11",139,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",82,8,NA,NA,"F","VIS","ECVI",49.45766667,0,"Brain","0","AvgCopy",6943340.187,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,12129.30571,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,1,0.000124549434241826
"1136","1000-0070-118-7288",NA,"PARR","SW",2011,"5/19/11",139,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",83,NA,NA,NA,"U","VIS","ECVI",49.38266667,0,"Brain","0","AvgCopy",124.0390645,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,149618.4338,0,0,0,0,0,NA,NA,289463.0003,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,2,1.00297234267016
"1137","1000-0070-118-7292",NA,"PARR","SW",2011,"5/19/11",139,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",90,NA,NA,NA,"F","VIS","ECVI",49.38266667,0,"Brain","0","AvgCopy",4025.579759,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,229460.076,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,1,0.00235620433107927
"1138","1000-0070-118-7290",NA,"PARR","SW",2011,"5/19/11",139,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",98,NA,NA,NA,"F","VIS","ECVI",49.38266667,0,"Brain","0","AvgCopy",8.380087053,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0.112047541,0,0,0,NA,0,0,NA,4.592098471,0,0,0,0,0,NA,NA,1300230.852,0,0,0.06758749,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,4,1.0133822366079
"1139","1000-0070-118-7293",NA,"PARR","SW",2011,"5/19/11",139,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Spring",100,NA,NA,NA,"M","VIS","ECVI",49.38266667,0,"Brain","0","AvgCopy",0.207574515,0,0,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,689622.6614,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA,1,0.00708137088563106
