Date,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Jun/01,9.2,8.1,8.8,6.9,,,,7.7,7.5,8.5,11.9,8.2,8.7,7.5
Jun/02,9.3,8.3,9.3,6.7,,,,7.8,7.9,9.0,11.8,8.5,8.6,7.6
Jun/03,9.7,8.1,9.3,6.7,,,,7.4,8.1,9.1,11.7,8.8,8.3,7.5
Jun/04,9.5,7.9,9.0,7.0,,,,7.4,8.5,9.0,11.8,8.9,8.3,7.6
Jun/05,9.3,8.2,8.4,6.7,,,,7.1,9.0,8.7,12.2,9.5,8.3,7.6
Jun/06,9.0,8.4,7.9,6.4,,,,7.3,8.4,8.6,12.6,10.0,8.6,7.6
Jun/07,9.0,8.5,7.8,6.7,,,,7.0,8.8,9.0,13.1,10.0,8.8,7.7
Jun/08,9.4,8.3,8.0,6.7,,,,7.1,8.6,9.1,13.2,10.0,8.5,7.6
Jun/09,9.7,7.8,8.0,6.6,,,,7.5,8.6,8.9,13.4,10.3,8.4,7.8
Jun/10,9.9,7.1,8.0,6.5,,,,7.5,8.4,8.8,13.6,9.9,8.1,7.6
Jun/11,9.8,6.6,8.0,6.7,,,,7.9,7.7,8.9,13.6,9.7,8.2,7.4
Jun/12,10.0,6.4,7.9,7.1,,,,7.8,7.9,9.1,13.4,9.1,8.6,7.3
Jun/13,9.9,6.4,7.9,6.8,,,,8.2,7.8,9.0,12.6,9.2,8.7,7.6
Jun/14,9.5,6.8,7.9,7.1,,,,7.8,8.4,9.4,10.9,9.3,8.6,7.9
Jun/15,9.4,7.2,7.8,7.6,,,,7.6,8.6,9.0,10.9,9.3,8.3,8.0
Jun/16,8.5,7.3,7.5,7.9,,,,7.9,8.8,8.8,12.3,9.3,8.6,8.2
Jun/17,8.0,7.6,7.3,7.9,,,,7.7,9.0,9.5,12.3,9.1,8.4,8.1
Jun/18,8.2,7.7,7.5,8.0,,,,7.7,9.2,9.9,12.5,9.1,8.5,7.8
Jun/19,8.6,7.7,7.8,7.9,,,,7.7,9.0,9.6,12.7,9.5,8.5,8.1
Jun/20,8.9,7.9,8.1,8.0,,,,8.0,9.1,9.2,12.6,10.0,8.8,9.8
Jun/21,9.2,8.3,8.0,8.4,,,,8.3,9.9,9.3,12.9,10.3,8.4,10.0
Jun/22,9.4,8.4,7.9,8.6,,,,8.4,10.5,9.6,13.0,10.4,8.5,10.2
Jun/23,9.7,8.9,7.9,8.6,,,,8.5,10.4,9.9,13.5,10.6,9.2,10.4
Jun/24,9.7,9.3,7.9,8.5,,,,8.5,10.2,10.4,13.5,10.8,9.8,10.2
Jun/25,9.9,10.0,8.0,8.6,,,,8.8,10.2,10.7,13.7,10.5,10.3,10.2
Jun/26,10.0,10.4,8.1,8.7,,,,8.9,10.5,10.8,14.0,10.6,10.4,10.1
Jun/27,9.8,10.7,8.4,8.9,,,,8.9,10.4,10.9,14.5,11.3,10.2,10.2
Jun/28,10.1,10.8,8.6,9.5,,,,8.8,10.6,10.8,14.9,11.7,9.9,10.2
Jun/29,10.9,11.0,8.8,9.7,,,,8.8,11.1,10.9,15.3,12.4,9.8,10.1
Jun/30,10.7,11.8,8.8,10.0,,,,8.9,11.5,11.4,15.4,13.0,10.6,10.3
Jul/01,10.6,12.3,9.0,10.3,,,,9.0,12.0,11.8,15.5,13.0,11.1,10.3
Jul/02,10.6,12.6,9.1,10.6,,,,9.1,12.2,12.1,15.5,12.9,11.4,10.3
Jul/03,10.4,12.8,9.2,10.8,,,,9.1,12.3,11.8,15.6,13.0,11.3,10.5
Jul/04,10.3,13.0,9.5,11.0,,,,9.2,12.0,11.3,13.2,12.7,11.6,9.7
Jul/05,10.6,13.1,9.8,10.9,,,,9.6,11.7,11.2,11.8,12.3,11.9,8.8
Jul/06,10.8,13.2,9.9,10.7,,,,9.8,11.4,11.1,11.1,12.4,12.1,9.5
Jul/07,10.6,12.9,9.9,10.8,,,,10.1,11.1,11.7,13.0,12.6,12.3,9.9
Jul/08,10.6,13.0,10.1,10.9,,,,10.3,12.5,12.1,15.2,12.6,12.4,10.1
Jul/09,10.6,13.3,10.1,11.0,,,,10.6,12.9,12.0,15.7,12.7,12.5,10.3
Jul/10,10.8,13.5,9.8,10.8,,,,10.9,13.0,11.3,16.7,12.6,12.3,10.5
Jul/11,10.9,13.1,9.9,10.6,,,,11.2,13.1,11.2,16.6,12.6,12.4,10.8
Jul/12,11.3,12.7,11.3,11.0,,,,11.5,12.8,12.7,16.6,13.0,12.4,11.9
Jul/13,11.5,12.7,11.4,11.2,,,,11.3,13.2,13.7,16.7,13.1,12.4,12.1
Jul/14,11.5,12.5,11.3,11.3,,,,11.4,12.9,14.0,17.0,13.2,12.5,11.9
Jul/15,11.6,12.7,11.4,11.5,,,,11.5,13.3,14.5,16.7,13.1,12.6,12.7
Jul/16,11.7,12.8,11.6,11.9,,,,10.3,12.0,14.9,16.6,13.0,12.3,13.3
Jul/17,11.7,12.8,11.6,12.1,,,,12.1,10.8,15.2,16.2,13.2,12.6,13.9
Jul/18,12.6,12.9,11.6,12.3,,,,11.9,12.8,14.7,12.7,13.6,12.9,14.0
Jul/19,12.3,13.0,11.6,12.4,,,,11.8,13.8,14.6,14.1,13.6,13.1,13.9
Jul/20,12.6,13.4,11.6,12.4,,,,11.8,14.1,14.3,17.0,13.6,12.8,13.7
Jul/21,12.7,14.0,11.5,12.4,,,,11.5,14.5,14.1,16.5,13.4,12.5,13.3
Jul/22,13.0,14.6,11.7,12.6,,,,11.4,15.0,14.0,16.3,13.6,12.4,13.5
Jul/23,12.9,14.9,11.7,12.8,,,,11.1,15.1,13.7,16.4,13.9,12.4,12.3
Jul/24,13.0,13.8,11.8,13.0,,,,11.3,15.3,13.6,16.1,13.7,12.3,9.0
Jul/25,13.3,14.1,12.1,12.9,,,,12.1,15.5,13.3,15.8,13.8,12.4,9.2
Jul/26,13.9,15.1,12.3,12.9,,,,12.2,15.5,13.4,15.8,14.1,13.0,10.8
Jul/27,14.1,14.8,12.2,12.8,,,,13.0,15.5,13.7,15.9,14.5,13.4,11.6
Jul/28,14.4,14.8,12.3,12.5,,,,13.1,14.6,14.1,15.8,15.0,13.5,12.6
Jul/29,14.5,14.8,12.4,12.3,,,,13.2,13.1,14.3,15.9,15.2,13.5,14.0
Jul/30,14.3,14.5,12.3,12.3,,,,13.4,12.7,14.4,16.1,15.3,13.7,15.3
Jul/31,14.2,14.2,12.5,12.1,,,,13.4,14.8,14.7,16.4,14.5,13.6,16.0
Aug/01,14.3,14.3,12.7,12.1,,,,13.2,14.8,15.1,16.7,12.3,13.2,16.9
Aug/02,14.3,14.4,13.0,12.1,,,,13.4,15.3,15.4,16.6,12.3,12.7,16.4
Aug/03,14.2,14.7,12.8,12.4,,,,13.5,15.5,15.6,16.2,12.9,13.0,16.1
Aug/04,14.4,14.7,12.8,12.8,,,,14.1,16.1,16.1,16.3,14.0,12.9,16.2
Aug/05,14.7,14.5,13.2,13.4,,,,15.0,16.6,16.2,16.1,14.7,12.8,16.1
Aug/06,14.9,14.8,13.6,14.0,,,,15.2,16.7,16.3,16.1,14.3,12.8,16.3
