Unique,Date,Stock_Analysis,Latitude,Longitude,arena2,pa_kab,sch,ven,pa_pse,ic_hof,ye_ruc,,,,,,,
1000-0133-118-A9816,5/9/13,Central Coast,52.379882,0,NA,0,0,0,0,11.30422915,0,,,,,,,
1000-0133-118-A9817,5/9/13,Central Coast,52.379882,0,NA,0,0,0,0,6.058314118,0,,,,,,,
1000-0133-118-A9847,5/9/13,Central Coast,52.379882,0,NA,2.892415525,0,0,0,0,0,,,,,,,
1000-0133-118-A9843,5/9/13,Central Coast,52.379882,0,NA,0,0,0,0,2.448608517,0,,,,,,,
1000-0133-118-A9823,5/9/13,Central Coast,52.379882,0,NA,0.54901807,0,0,0.670847549,0,0,,,,,,,
1000-0133-118-A9850,5/9/13,Central Coast,52.379882,0,NA,0,0,0.409093442,0,0.70696079,0,,,,,,,
1000-0133-118-A9822,5/9/13,Central Coast,52.379882,0,NA,0.154913419,0,0,0,0,0,,,,,,,
1000-0042-118-0116,5/8/08,Chilko,49.1329,0,NA,0,0.538330729,0,0,0,NA,,,,,,,
1000-0153-118-0009,5/3/11,Chilko,51.62605,0,0,1733.08029,1.316337619,0,0,0,0,,,,,,,
1000-0153-118-0022,5/3/11,Chilko,51.62605,0,0,0,0,0,0,1607.611991,0,,,,,,,
1000-0153-118-0026,5/3/11,Chilko,51.62605,0,0,0,0,0,0,79.03149327,0,,,,,,,
1000-0153-118-0002,5/3/11,Chilko,51.62605,0,0,64.57002426,0,0,0,0,0,,,,,,,
1000-0153-118-0003,5/3/11,Chilko,51.62605,0,0,0,0,0,0.075554814,1.077421106,0,,,,,,,
1000-0153-118-0013,5/3/11,Chilko,51.62605,0,0,0,0.564619285,0,0,0,0,,,,,,,
1000-0153-118-0018,5/3/11,Chilko,51.62605,0,0.358153377,0,0,0,0.164086315,0,0,,,,,,,
1000-0153-118-0006,5/3/11,Chilko,51.62605,0,0,0,0,0,0.034534368,0,0,,,,,,,
1000-0153-118-0024,5/3/11,Chilko,51.62605,0,0,0,0,0,0.004785836,0,0,,,,,,,
1000-0048-118-0121,4/24/12,Chilko,49.1329,0,0,0,0,0,1398.414256,0,0,,,,,,,
1000-0150-118-A0511,5/2/12,Chilko,51.614348,0,18.13354332,0,0,0,0,0,0,,,,,,,
1000-0150-118-A0497,5/2/12,Chilko,51.614348,0,14.15718449,0,0,0,0,0,0,,,,,,,
1000-0150-118-A0519,5/2/12,Chilko,51.614348,0,0.615646453,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9377,4/25/13,Chilko,49.1329,0,NA,0,0,0,0,0.582308045,0,,,,,,,
1000-0050-118-C9379,4/25/13,Chilko,49.1329,0,NA,0,0,0,0,0.393825934,0,,,,,,,
1000-0050-118-C9003,4/30/13,Chilko,49.1329,0,0,0,0,0,0,0.725513925,0,,,,,,,
1000-0050-118-C9195,5/3/13,Chilko,49.1329,0,0.430898059,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9199,5/3/13,Chilko,49.1329,0,0.169607242,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9286,5/6/13,Chilko,49.1329,0,NA,1.245683332,0,0,0,0,0,,,,,,,
1000-0050-118-C9200,5/6/13,Chilko,49.1329,0,0,0.408652088,0,0,0,0,0,,,,,,,
1000-0050-118-C9198,5/6/13,Chilko,49.1329,0,0,0,0,0,0,0.074856146,0,,,,,,,
1000-0050-118-C9076,5/7/13,Chilko,49.1329,0,0,0,0,0,0.104966056,12.08367113,0,,,,,,,
1000-0154-118-A10063,5/10/13,Chilko,51.62605,0,76.1998675,0,0,0,0,0,0,,,,,,,
1000-0154-118-A10043,5/10/13,Chilko,51.62605,0,NA,0.288508362,0,0,0,0,0,,,,,,,
1000-0154-118-A10061,5/10/13,Chilko,51.62605,0,0.284890585,0,0,0,0,0,0,,,,,,,
1000-0154-118-A10064,5/10/13,Chilko,51.62605,0,0.19517704,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9079,5/14/13,Chilko,49.1329,0,0,0,0,0.298904677,0,0,0,,,,,,,
1000-0050-118-C9257,5/14/13,Chilko,49.1329,0,NA,0,0,0,0,0.099401791,0,,,,,,,
1000-0155-118-D1084,5/7/14,Chilko,51.62605,0,2.794153965,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9294,4/18/13,Chilliwack,49.1329,0,NA,0,0,0,0,0.735161732,0,,,,,,,
1000-0050-118-C9399,4/25/13,Chilliwack,49.1329,0,NA,0,0,0,0,0.413054871,0,,,,,,,
1000-0050-118-C9014,4/29/13,Chilliwack,49.1329,0,0,0,0,0,0,0.688602153,0,,,,,,,
1000-0050-118-C9087,5/6/13,Chilliwack,49.1329,0,NA,1.845957272,0,0,0,0,0,,,,,,,
1000-0167-118-A0015,4/3/12,Cultus,49.07788,0,54.61156335,0,0,0,0,0,0,,,,,,,
1000-0167-118-A0037,4/3/12,Cultus,49.07788,0,0,0,0,0.937687797,0,0,0,,,,,,,
1000-0167-118-A0034,4/3/12,Cultus,49.07788,0,0.061562445,0,0,0,0,0,0,,,,,,,
1000-0044-118-LR042,5/24/11,Early Stuart,49.1313,0,1371.904795,0,0,0,0,0,0,,,,,,,
1000-0048-118-0126,4/24/12,Gates,49.1329,0,0,0,0,0,39037.52416,0,0,,,,,,,
1000-0192-118-A0113,4/23/12,Harrison-Widgeon,50.921158,0,1110527.295,0,0,0,0,0,0,,,,,,,
1000-0044-118-LR024,5/24/11,Late Shuswap,49.1313,0,919268.92,0,0,0,0,0,0,,,,,,,
1000-0044-118-LR060,5/24/11,Late Shuswap,49.1313,0,646.135865,0,0,0,0,0,0,,,,,,,
1000-0044-118-LR044,5/24/11,Late Shuswap,49.1313,0,7.654858968,0,0,0,0,0,0,,,,,,,
1000-0044-118-LR045,5/24/11,Late Shuswap,49.1313,0,0,0,0,0,0.816354551,0,0,,,,,,,
2011-0001-118-I3453,8/3/11,Late Shuswap,51.101436,0,0,9.403203908,0,0,0,0,0,,,,,,,
2011-0001-118-I3517,8/3/11,Late Shuswap,51.235072,0,0,8.835528942,0,0,0,0,0,,,,,,,
2011-0001-118-I3458,8/3/11,Late Shuswap,51.101436,0,0,8.415698607,0,0,0,0,0,,,,,,,
2011-0001-118-I3452,8/3/11,Late Shuswap,51.101436,0,0,4.670312446,0,0,0,0,0,,,,,,,
2011-0001-118-I3459,8/3/11,Late Shuswap,51.101436,0,0,0.73337979,0,0,0,0,0,,,,,,,
2011-0001-118-I3496,8/4/11,Late Shuswap,50.6998,0,0,0,0,0,0,2589.778456,0,,,,,,,
2011-0001-118-I3497,8/4/11,Late Shuswap,50.6998,0,0,0,0,0,0,1011.822121,0,,,,,,,
2011-0001-118-I3495,8/4/11,Late Shuswap,50.6998,0,0,0,0,0,0,3.392364128,0,,,,,,,
2011-0001-118-I3479,8/4/11,Late Shuswap,50.892709,0,0.628101039,0,0,0,0,0,NA,,,,,,,
1000-0192-118-A0161,4/23/12,Late Shuswap,50.921158,0,2897223.995,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0155,4/23/12,Late Shuswap,50.921158,0,17403.0709,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0105,4/23/12,Late Shuswap,50.921158,0,15200.92272,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0111,4/23/12,Late Shuswap,50.921158,0,4992.033184,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0118,4/23/12,Late Shuswap,50.921158,0,3967.557982,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0114,4/23/12,Late Shuswap,50.921158,0,194.2322678,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0132,4/23/12,Late Shuswap,50.921158,0,147.4469519,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0130,4/23/12,Late Shuswap,50.921158,0,138.9061922,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0145,4/23/12,Late Shuswap,50.921158,0,83.50766206,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0138,4/23/12,Late Shuswap,50.921158,0,81.64297936,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0156,4/23/12,Late Shuswap,50.921158,0,7.329879159,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0135,4/23/12,Late Shuswap,50.921158,0,0.986113448,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0140,4/23/12,Late Shuswap,50.921158,0,0.223921783,0,0,0,0,0,0,,,,,,,
