"","N","perc.run","posdet","prev","mean.load"
"ae_hyd",679,0.229005059021922,0,0,NaN
"ae_sal",865,0.291736930860034,0,0,NaN
"arena1",213,0.0718381112984823,1,0.00469483568075117,1.824655431
"arena2",370,0.124789207419899,155,0.418918918918919,120195.684805658
"ascv",212,0.0715008431703204,1,0.00471698113207547,0.699981508
"aspv",98,0.0330522765598651,0,0,NaN
"Bafini_b",0,0,0,NaN,NaN
"c_b_cys",869,0.293086003372681,821,0.944764096662831,26455.4133676079
"ce_sha",877,0.295784148397976,29,0.0330672748004561,281.757721370448
"Circo.virus",316,0.106576728499157,9,0.0284810126582278,37.0673146961111
"cov",209,0.0704890387858347,0,0,NaN
"cr_sal",865,0.291736930860034,2,0.0023121387283237,2.974978477
"ctv",210,0.0708263069139966,0,0,NaN
"de_sal",869,0.293086003372681,8,0.00920598388952819,353.35374684575
"fa_mar",877,0.295784148397976,11,0.0125427594070696,3.95472343345455
"fl_psy",877,0.295784148397976,13,0.0148232611174458,8.61177132846154
"gy_sal",679,0.229005059021922,0,0,NaN
"Hantavirus",0,0,0,NaN,NaN
"ic_hof",877,0.295784148397976,90,0.102622576966933,48.9686784304444
"ic_mul",865,0.291736930860034,42,0.0485549132947977,0.232194828380952
"IcD",316,0.106576728499157,265,0.838607594936709,1462707.7912174
"ihnv",877,0.295784148397976,8,0.00912200684150513,19964.355314463
"ipnv",679,0.229005059021922,0,0,NaN
"isav7",679,0.229005059021922,1,0.00147275405007364,6.853729824
"isav8",679,0.229005059021922,0,0,NaN
"ku_thy",877,0.295784148397976,8,0.00912200684150513,3.446778133
"lo_sal",876,0.295446880269815,61,0.069634703196347,175.068405747721
"mitov",200,0.0674536256323777,0,0,NaN
"mo_vis",585,0.197301854974705,2,0.00341880341880342,528.801047235
"my_arc",877,0.295784148397976,745,0.849486887115165,584301.900485039
"my_cer",98,0.0330522765598651,0,0,NaN
"my_ins",869,0.293086003372681,0,0,NaN
"na_sal",877,0.295784148397976,1,0.00114025085518814,0.06758749
"ne_per",830,0.279932546374368,0,0,NaN
"Nido2_a",0,0,0,NaN,NaN
"nu_sal",269,0.0907251264755481,3,0.0111524163568773,0.208415400666667
"omv",679,0.229005059021922,0,0,NaN
"ortho",196,0.0661045531197302,0,0,NaN
"pa_kab",877,0.295784148397976,257,0.293044469783352,102.398164687747
"pa_min",877,0.295784148397976,351,0.400228050171038,668050.245539873
"pa_pse",877,0.295784148397976,106,0.120866590649943,1534.21290174873
"pa_ther",877,0.295784148397976,677,0.771949828962372,520.4846371833
"pch_sal",877,0.295784148397976,0,0,NaN
"Picorna2_virus",316,0.106576728499157,0,0,NaN
"pisck_sal",877,0.295784148397976,1,0.00114025085518814,0.055333208
"pmcv",679,0.229005059021922,0,0,NaN
"prv",859,0.289713322091062,10,0.0116414435389988,0.5522713439
"pspv",875,0.295109612141653,692,0.790857142857143,6526.15423473563
"Qin",316,0.106576728499157,21,0.0664556962025316,332.026871901571
"re_sal",877,0.295784148397976,4,0.00456100342075257,0.99461576
"reov",207,0.069814502529511,0,0,NaN
"Rhabdo3_virus",316,0.106576728499157,4,0.0126582278481013,113.370360064
"rlo",877,0.295784148397976,5,0.00570125427594071,1.17010072
"Salmovirus",0,0,0,NaN,NaN
"sav",679,0.229005059021922,0,0,NaN
"sch",877,0.295784148397976,176,0.200684150513113,25.2584290537898
"SGPV",181,0.0610455311973019,0,0,NaN
"smallUK",212,0.0715008431703204,2,0.00943396226415094,0.763416127
"sp_des",865,0.291736930860034,4,0.0046242774566474,85.10218365875
"sp_sal",679,0.229005059021922,0,0,NaN
"te_bry",877,0.295784148397976,7,0.00798175598631699,1341.49192298914
"te_mar",783,0.264080944350759,4,0.00510855683269476,4.54042380975
"toti",200,0.0674536256323777,0,0,NaN
"ven",877,0.295784148397976,220,0.250855188141391,8.21225324525909
"ver",865,0.291736930860034,0,0,NaN
