"","N","perc.run","posdet","prev","mean.load"
"ae_hyd",1268,0.845333333333333,0,0,NaN
"ae_sal",1481,0.987333333333333,0,0,NaN
"arena1",229,0.152666666666667,0,0,NaN
"arena2",488,0.325333333333333,60,0.122950819672131,177570.388689465
"ascv",226,0.150666666666667,0,0,NaN
"aspv",25,0.0166666666666667,0,0,NaN
"Bafini_b",0,0,0,NaN,NaN
"c_b_cys",1481,0.987333333333333,1300,0.87778528021607,7338.9080999997
"ce_sha",1481,0.987333333333333,47,0.0317353139770425,10.3742342383191
"Circo.virus",333,0.222,5,0.015015015015015,130.8396892042
"cov",225,0.15,0,0,NaN
"cr_sal",1481,0.987333333333333,1,0.000675219446320054,1070.339252
"ctv",228,0.152,0,0,NaN
"de_sal",1481,0.987333333333333,22,0.0148548278190412,7101.32028188695
"fa_mar",1481,0.987333333333333,1,0.000675219446320054,0.00280546
"fl_psy",1481,0.987333333333333,153,0.103308575286968,34660.0774378037
"gy_sal",1268,0.845333333333333,0,0,NaN
"Hantavirus",0,0,0,NaN,NaN
"ic_hof",1481,0.987333333333333,24,0.0162052667116813,98.0341123154583
"ic_mul",1481,0.987333333333333,561,0.37879810938555,58.7690140481373
"IcD",333,0.222,188,0.564564564564565,19350.0038084804
"ihnv",1481,0.987333333333333,6,0.00405131667792032,6090.00999353183
"ipnv",1268,0.845333333333333,0,0,NaN
"isav7",1268,0.845333333333333,0,0,NaN
"isav8",1268,0.845333333333333,0,0,NaN
"ku_thy",1481,0.987333333333333,1,0.000675219446320054,0.181890509
"lo_sal",1481,0.987333333333333,20,0.0135043889264011,8424.347515698
"mitov",229,0.152666666666667,0,0,NaN
"mo_vis",1243,0.828666666666667,0,0,NaN
"my_arc",1480,0.986666666666667,873,0.589864864864865,231984.089737659
"my_cer",25,0.0166666666666667,0,0,NaN
"my_ins",1481,0.987333333333333,0,0,NaN
"na_sal",1481,0.987333333333333,0,0,NaN
"ne_per",1449,0.966,0,0,NaN
"Nido2_a",0,0,0,NaN,NaN
"nu_sal",278,0.185333333333333,1,0.00359712230215827,0.149153912
"omv",1268,0.845333333333333,0,0,NaN
"ortho",224,0.149333333333333,0,0,NaN
"pa_kab",1481,0.987333333333333,15,0.0101282916948008,127.962282629467
"pa_min",1481,0.987333333333333,152,0.102633355840648,2373.24263560692
"pa_pse",1481,0.987333333333333,10,0.00675219446320054,4043.872037076
"pa_ther",1480,0.986666666666667,20,0.0135135135135135,618.1259405666
"pch_sal",1472,0.981333333333333,4,0.00271739130434783,50023.370706655
"Picorna2_virus",333,0.222,0,0,NaN
"pisck_sal",1481,0.987333333333333,0,0,NaN
"pmcv",1267,0.844666666666667,0,0,NaN
"prv",1481,0.987333333333333,5,0.00337609723160027,0.1407270788
"pspv",1481,0.987333333333333,760,0.513166779203241,18705.0144395624
"Qin",333,0.222,19,0.0570570570570571,115.481577274316
"re_sal",1481,0.987333333333333,1,0.000675219446320054,7.732412748
"reov",228,0.152,0,0,NaN
"Rhabdo3_virus",333,0.222,1,0.003003003003003,2.81108881
"rlo",1481,0.987333333333333,126,0.0850776502363268,16.8941683170476
"Salmovirus",0,0,0,NaN,NaN
"sav",1268,0.845333333333333,0,0,NaN
"sch",1481,0.987333333333333,5,0.00337609723160027,0.5499348928
"SGPV",126,0.084,0,0,NaN
"smallUK",229,0.152666666666667,3,0.0131004366812227,0.603211315
"sp_des",1481,0.987333333333333,46,0.0310600945307225,367.740563011609
"sp_sal",1268,0.845333333333333,0,0,NaN
"te_bry",1481,0.987333333333333,43,0.0290344361917623,337.074003141814
"te_mar",1456,0.970666666666667,4,0.00274725274725275,146.97042002
"toti",227,0.151333333333333,0,0,NaN
"ven",1481,0.987333333333333,5,0.00337609723160027,1.5591320458
"ver",1481,0.987333333333333,0,0,NaN
