"","N","perc.run","posdet","prev","mean.load"
"ae_hyd",1719,0.658620689655172,0,0,NaN
"ae_sal",2577,0.987356321839081,0,0,NaN
"arena1",930,0.35632183908046,2,0.0021505376344086,1.148581859
"arena2",1514,0.58007662835249,628,0.414795244385733,805179.667176778
"ascv",925,0.354406130268199,2,0.00216216216216216,0.386433453
"aspv",265,0.101532567049808,0,0,NaN
"Bafini_b",0,0,0,NaN,NaN
"c_b_cys",2519,0.965134099616858,2241,0.889638745533942,40674.0125885581
"ce_sha",2591,0.99272030651341,160,0.0617522192203782,2578.88954211969
"Circo.virus",1227,0.470114942528736,16,0.013039934800326,26.938279188
"cov",921,0.352873563218391,0,0,NaN
"cr_sal",2577,0.987356321839081,2,0.000776096235933256,2.974978477
"ctv",920,0.352490421455939,1,0.00108695652173913,0.002629335
"de_sal",2521,0.965900383141762,32,0.0126933756445855,43666.1416882522
"fa_mar",2591,0.99272030651341,62,0.0239289849478966,3306.83510044905
"fl_psy",2592,0.993103448275862,45,0.0173611111111111,21.5082849495778
"gy_sal",1719,0.658620689655172,0,0,NaN
"Hantavirus",0,0,0,NaN,NaN
"ic_hof",2590,0.992337164750958,248,0.0957528957528958,48345.1180594503
"ic_mul",2576,0.986973180076628,132,0.0512422360248447,2.68288293684848
"IcD",1227,0.470114942528736,984,0.801955990220049,6675355.36943022
"ihnv",2591,0.99272030651341,9,0.00347356233114628,17746.1852466432
"ipnv",1719,0.658620689655172,0,0,NaN
"isav7",1719,0.658620689655172,1,0.00058173356602676,6.853729824
"isav8",1719,0.658620689655172,0,0,NaN
"ku_thy",2592,0.993103448275862,28,0.0108024691358025,2.81404709703571
"lo_sal",2580,0.988505747126437,178,0.0689922480620155,175.995932388275
"mitov",913,0.349808429118774,0,0,NaN
"mo_vis",1458,0.558620689655172,5,0.00342935528120713,212.7928248606
"my_arc",2592,0.993103448275862,1678,0.647376543209877,369528.936428477
"my_cer",265,0.101532567049808,0,0,NaN
"my_ins",2521,0.965900383141762,0,0,NaN
"na_sal",2591,0.99272030651341,1,0.000385951370127364,0.06758749
"ne_per",2459,0.942145593869732,0,0,NaN
"Nido2_a",0,0,0,NaN,NaN
"nu_sal",862,0.330268199233716,9,0.0104408352668213,0.273572906
"omv",1719,0.658620689655172,0,0,NaN
"ortho",900,0.344827586206897,0,0,NaN
"pa_kab",2591,0.99272030651341,592,0.228483211115399,9551.06424428641
"pa_min",2591,0.99272030651341,1461,0.563874951756079,962707.203522951
"pa_pse",2591,0.99272030651341,302,0.116557313778464,393242.713821459
"pa_ther",2591,0.99272030651341,1942,0.749517560787341,1562.02494007494
"pch_sal",2593,0.993486590038314,1,0.000385653682992673,16857.91172
"Picorna2_virus",1227,0.470114942528736,5,0.00407497962510187,0.868855369
"pisck_sal",2590,0.992337164750958,1,0.000386100386100386,0.055333208
"pmcv",1719,0.658620689655172,0,0,NaN
"prv",2562,0.981609195402299,16,0.00624512099921936,2.14674366975
"pspv",2589,0.991954022988506,1382,0.533796832753959,7285.11145150307
"Qin",1227,0.470114942528736,49,0.0399348003259984,188.462759712633
"re_sal",2592,0.993103448275862,5,0.00192901234567901,1.242006591
"reov",914,0.350191570881226,0,0,NaN
"Rhabdo3_virus",1227,0.470114942528736,11,0.00896495517522412,51.0820045689091
"rlo",2591,0.99272030651341,55,0.021227325357005,104.600203858855
"Salmovirus",0,0,0,NaN,NaN
"sav",1719,0.658620689655172,0,0,NaN
"sch",2592,0.993103448275862,504,0.194444444444444,34.9992693253452
"SGPV",766,0.293486590038314,0,0,NaN
"smallUK",928,0.355555555555556,12,0.0129310344827586,28.77214216975
"sp_des",2576,0.986973180076628,42,0.016304347826087,333.994039160643
"sp_sal",1719,0.658620689655172,0,0,NaN
"te_bry",2592,0.993103448275862,42,0.0162037037037037,1683.88766302269
"te_mar",2331,0.893103448275862,54,0.0231660231660232,310.982605460963
"toti",909,0.348275862068965,1,0.0011001100110011,0.681975941
"ven",2590,0.992337164750958,466,0.17992277992278,7.09711891484979
"ver",2576,0.986973180076628,1,0.000388198757763975,2.971504356
