"","N","perc.run","posdet","prev","mean.load"
"ae_hyd",3138,0.680841831199826,0,0,NaN
"ae_sal",4431,0.961379908873942,0,0,NaN
"arena1",1381,0.299631156433066,6,0.00434467776973208,2166.32094271683
"arena2",2245,0.487090475157301,747,0.332739420935412,572357.433283827
"ascv",1370,0.297244521588197,2,0.00145985401459854,0.386433453
"aspv",383,0.0830982859622478,0,0,NaN
"Bafini_b",0,0,0,NaN,NaN
"c_b_cys",4296,0.932089390323281,3796,0.883612662942272,28274.0875737967
"ce_sha",4449,0.965285311347364,221,0.0496740840638346,1925.92126896469
"Circo.virus",1592,0.34541115209373,22,0.0138190954773869,169414.75022332
"cov",1363,0.295725753959644,2,0.00146735143066764,15.593152835
"cr_sal",4431,0.961379908873942,3,0.000677048070412999,358.763069651333
"ctv",1370,0.297244521588197,1,0.00072992700729927,0.002629335
"de_sal",4298,0.932523323931438,53,0.0123313168915775,29125.1937765921
"fa_mar",4449,0.965285311347364,64,0.0143852551135087,3203.56077620462
"fl_psy",4450,0.965502278151443,214,0.0480898876404494,24889.1171231662
"gy_sal",3138,0.680841831199826,0,0,NaN
"Hantavirus",0,0,0,NaN,NaN
"ic_hof",4448,0.965068344543285,313,0.0703687050359712,46779.5695607613
"ic_mul",4432,0.961596875678021,694,0.15658844765343,47.3588727980274
"IcD",1592,0.34541115209373,1186,0.744974874371859,5747320.63779228
"ihnv",4449,0.965285311347364,17,0.00382108338952574,11547.7684496552
"ipnv",3138,0.680841831199826,0,0,NaN
"isav7",3138,0.680841831199826,2,0.000637348629700446,9.963585202
"isav8",3138,0.680841831199826,0,0,NaN
"ku_thy",4450,0.965502278151443,37,0.00831460674157303,4.6079374957027
"lo_sal",4428,0.960729008461705,222,0.0501355013550136,3852.11370622068
"mitov",1360,0.295074853547407,0,0,NaN
"mo_vis",2755,0.597743545237579,5,0.00181488203266788,212.7928248606
"my_arc",4449,0.965285311347364,2692,0.605079793211958,408291.562190792
"my_cer",383,0.0830982859622478,0,0,NaN
"my_ins",4298,0.932523323931438,0,0,NaN
"na_sal",4449,0.965285311347364,3,0.000674308833445718,3.39500959166667
"ne_per",4200,0.911260577131699,0,0,NaN
"Nido2_a",0,0,0,NaN,NaN
"nu_sal",1221,0.26491646778043,10,0.00819000819000819,0.2611310066
"omv",3138,0.680841831199826,0,0,NaN
"ortho",1336,0.289867650249512,0,0,NaN
"pa_kab",4449,0.965285311347364,702,0.157788267026298,199216.74536018
"pa_min",4449,0.965285311347364,1790,0.402337603955945,894981.97126948
"pa_pse",4449,0.965285311347364,365,0.082040908069229,326730.315800544
"pa_ther",4448,0.965068344543285,2140,0.481115107913669,1617.3319708385
"pch_sal",4442,0.963766543718811,4,0.00090049527239982,54234.626224025
"Picorna2_virus",1592,0.34541115209373,6,0.00376884422110553,24.4757722908333
"pisck_sal",4448,0.965068344543285,4,0.000899280575539568,1.74150076125
"pmcv",3137,0.680624864395747,4,0.00127510360216768,260.9859060625
"prv",4420,0.958993274029074,16,0.00361990950226244,1.662269456
"pspv",4447,0.964851377739206,2249,0.505734202833371,11282.9476967436
"Qin",1592,0.34541115209373,68,0.042713567839196,168.070958737221
"re_sal",4450,0.965502278151443,2,0.000449438202247191,4.9819913315
"reov",1357,0.29442395313517,0,0,NaN
"Rhabdo3_virus",1592,0.34541115209373,12,0.00753768844221105,103516.07166309
"rlo",4449,0.965285311347364,181,0.0406832996178917,43.3960970143425
"Salmovirus",0,0,0,NaN,NaN
"sav",3138,0.680841831199826,0,0,NaN
"sch",4450,0.965502278151443,535,0.120224719101124,37.3739454572523
"SGPV",1102,0.239097418095031,0,0,NaN
"smallUK",1378,0.298980256020829,16,0.011611030478955,1387.24148374887
"sp_des",4432,0.961596875678021,103,0.0232400722021661,415.285439865748
"sp_sal",3138,0.680841831199826,0,0,NaN
"te_bry",4450,0.965502278151443,97,0.0217977528089888,1543.66945856642
"te_mar",4067,0.882403992189195,66,0.0162281780181952,265.735543004197
"toti",1352,0.293339119114775,1,0.000739644970414201,0.681975941
"ven",4448,0.965068344543285,498,0.111960431654676,6.9233386431747
"ver",4432,0.961596875678021,2,0.000451263537906137,3.4455920565
