"","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent","prev_std","load_std"
"1",3,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,1,0.0344827586206897,0.358153377,0.0123501164482759,"arena2",-0.311621599473136,-1.12672079971104
"2",4,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,56,3,0.0535714285714286,10.968791421,0.587613826125,"arena2",0.403498285634318,0.731358824049766
"3",5,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,56,5,0.0892857142857143,15.4560880852,1.38000786475,"arena2",1.74146452228697,1.51715082477065
"4",6,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,1,0.0333333333333333,2.794153965,0.0931384655,"arena2",-0.35468258180219,-0.700141074979817
"5",9,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,12,0,0,NA,NA,"arena2",-1.60345106934467,NA
"6",19,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,23,1,0.0434782608695652,7.853917091,0.341474656130435,"arena2",0.0253773926672609,0.185898268412271
"7",33,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,1,0.0454545454545455,3.322921603,0.151041891045455,"arena2",0.0994150500314417,-0.607546042541829
"8",36,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,29,1,15104.2267308259,NA,"c_b_cys",0.90470928023414,2.38488283345168
"9",37,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,89,0.967391304347826,1723.0023806377,0,"c_b_cys",0.747500599636767,-0.405787039235009
"10",38,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,195,0.989847715736041,17976.1359398825,0,"c_b_cys",0.855764445665755,2.98382283304096
"11",39,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,30,1,6133.93712026,NA,"c_b_cys",0.90470928023414,0.514118521430518
"12",40,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,22,0.956521739130435,1785.78259836277,0,"c_b_cys",0.695097706104311,-0.392694151945992
"13",41,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,8,0.727272727272727,169.882787358,0,"c_b_cys",-0.410126957489339,-0.729691933452264
"14",42,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,30,0.75,1702.99081165597,0,"c_b_cys",-0.300557271012381,-0.409960475177866
"15",43,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,15,0.625,513.048225819533,0,"c_b_cys",-0.903190546635641,-0.658124382875441
