"","positives","proportion"
"ae_hyd",0,0
"ae_sal",0,0
"aspv",0,0
"Bafini_b",0,0
"cov",0,0
"gy_sal",0,0
"Hantavirus",0,0
"ipnv",0,0
"isav8",0,0
"mitov",0,0
"my_cer",0,0
"my_ins",0,0
"ne_per",0,0
"Nido2_a",0,0
"omv",0,0
"ortho",0,0
"pmcv",0,0
"reov",0,0
"Salmovirus",0,0
"sav",0,0
"SGPV",0,0
"sp_sal",0,0
"ver",0,0
"vhsv",0,0
"vi_ang",0,0
"vi_sal",0,0
"ctv",1,0.000387446726075165
"isav7",1,0.000387446726075165
"na_sal",1,0.000387446726075165
"Picorna2_virus",1,0.000387446726075165
"pisck_sal",1,0.000387446726075165
"toti",1,0.000387446726075165
"ye_ruc",1,0.000387446726075165
"arena1",2,0.000774893452150329
"ascv",2,0.000774893452150329
"pch_sal",2,0.000774893452150329
"cr_sal",3,0.00116234017822549
"smallUK",3,0.00116234017822549
"mo_vis",4,0.00154978690430066
"re_sal",4,0.00154978690430066
"nu_sal",5,0.00193723363037582
"Rhabdo3_virus",5,0.00193723363037582
"ihnv",13,0.00503680743897714
"prv",13,0.00503680743897714
"ku_thy",18,0.00697404106935296
"Circo.virus",19,0.00736148779542813
"de_sal",28,0.0108485083301046
"fa_mar",30,0.0116234017822549
"sp_des",33,0.0127857419604804
"te_mar",37,0.0143355288647811
"te_bry",47,0.0182099961255327
"Qin",64,0.0247965904688105
"fl_psy",102,0.0395195660596668
"rlo",104,0.0402944595118171
"ce_sha",113,0.0437814800464936
"lo_sal",135,0.0523053080201472
"ic_hof",164,0.063541263076327
"pa_pse",192,0.0743897714064316
"sch",340,0.131731886865556
"ven",354,0.137156141030608
"arena2",391,0.151491669895389
"pa_kab",433,0.167764432390546
"ic_mul",449,0.173963580007749
"IcD",751,0.290972491282449
"pa_min",1013,0.392483533514142
"pa_ther",1340,0.519178612940721
"pspv",1587,0.614877954281286
"my_arc",1830,0.709027508717551
"c_b_cys",2245,0.869817900038745
"richness",2529,0.979852770244091
"rib",2529,0.979852770244091
