"","positives","proportion"
"ae_hyd",0,0
"ae_sal",0,0
"arena1",0,0
"ascv",0,0
"aspv",0,0
"Bafini_b",0,0
"cov",0,0
"ctv",0,0
"fa_mar",0,0
"gy_sal",0,0
"Hantavirus",0,0
"ipnv",0,0
"isav7",0,0
"isav8",0,0
"ku_thy",0,0
"mitov",0,0
"mo_vis",0,0
"my_cer",0,0
"my_ins",0,0
"na_sal",0,0
"ne_per",0,0
"Nido2_a",0,0
"nu_sal",0,0
"omv",0,0
"ortho",0,0
"Picorna2_virus",0,0
"pisck_sal",0,0
"pmcv",0,0
"re_sal",0,0
"reov",0,0
"Rhabdo3_virus",0,0
"Salmovirus",0,0
"sav",0,0
"SGPV",0,0
"smallUK",0,0
"sp_sal",0,0
"toti",0,0
"ver",0,0
"vhsv",0,0
"vi_ang",0,0
"vi_sal",0,0
"cr_sal",1,0.00112233445566779
"pch_sal",1,0.00112233445566779
"ye_ruc",1,0.00112233445566779
"prv",2,0.00224466891133558
"ven",2,0.00224466891133558
"Circo.virus",4,0.00448933782267116
"sch",4,0.00448933782267116
"te_mar",4,0.00448933782267116
"ihnv",5,0.00561167227833894
"sp_des",6,0.00673400673400673
"lo_sal",8,0.00897867564534231
"pa_kab",8,0.00897867564534231
"pa_pse",8,0.00897867564534231
"de_sal",12,0.0134680134680135
"pa_ther",14,0.015712682379349
"ic_hof",16,0.0179573512906846
"Qin",19,0.021324354657688
"arena2",24,0.0269360269360269
"te_bry",25,0.0280583613916947
"ce_sha",34,0.0381593714927048
"fl_psy",80,0.0897867564534231
"rlo",80,0.0897867564534231
"pa_min",98,0.109988776655443
"IcD",127,0.142536475869809
"ic_mul",367,0.411896745230079
"pspv",552,0.619528619528619
"my_arc",616,0.691358024691358
"c_b_cys",749,0.840628507295174
"richness",849,0.952861952861953
"rib",849,0.952861952861953
