"","agent","assays"
"1","Circo.virus",580
"2","IcD",580
"3","Qin",580
"4","Rhabdo3_virus",580
"5","arena2",711
"6","c_b_cys",1483
"7","ce_sha",1505
"8","de_sal",1485
"9","fa_mar",1505
"10","fl_psy",1506
"11","ic_hof",1504
"12","ic_mul",1493
"13","ihnv",1506
"14","ku_thy",1506
"15","lo_sal",1502
"16","my_arc",1506
"17","nu_sal",455
"18","pa_kab",1505
"19","pa_min",1505
"20","pa_pse",1505
"21","pa_ther",1505
"22","prv",1481
"23","pspv",1504
"24","rib",1690
"25","richness",1690
"26","rlo",1505
"27","sch",1506
"28","sp_des",1493
"29","te_bry",1506
"30","te_mar",1392
"31","ven",1504
