"","lower","25","mid","75","upper"
"arena2",-0.886904792651548,-0.368388017506473,-0.137029267256337,0.085407015997142,0.553430651168044
"c_b_cys",-0.469430819097163,-0.162307900440025,0.00811937811579102,0.175836707362658,0.546507800063934
"ce_sha",-0.437034062976083,-0.131275322900143,0.0206778531217187,0.175061049019221,0.52376676612006
"Circo.virus",-1.05327506709682,-0.542203829849241,-0.301922113065036,-0.0540063683574711,0.674767887721134
"de_sal",-0.312236973147698,0.0660936525660759,0.251692731203516,0.431733820532172,0.860909923840277
"fa_mar",-0.177186730484395,0.142592141089188,0.297762768858007,0.46473979355991,0.917226781979844
"fl_psy",-0.501525564684872,-0.140062213461693,0.0236468785677216,0.187444822799922,0.561464398780934
"ic_hof",-0.616803386045613,-0.261837847803953,-0.0987854955496861,0.07304199100856,0.423396739533418
"ic_mul",-0.430842098267514,-0.137016116259483,0.0109931770957938,0.163705984788806,0.460314481202166
"IcD",-0.396444417750642,0.0436851697325757,0.220973422447046,0.392015853580746,0.743549138954042
"ihnv",-0.309510528875772,0.17385760025264,0.376873527828519,0.647891394287171,1.5690937160942
"ku_thy",-0.524049682096345,-0.235265996573283,-0.081241145741736,0.080793541415587,0.461138486359585
"lo_sal",-0.433540297063944,-0.0649337298773227,0.123496095303008,0.33581286167269,0.773859278100496
"my_arc",-0.676303220226779,-0.236205427996865,-0.0543559631786371,0.124548356100714,0.505614518611768
"nu_sal",-0.677407204455381,-0.26711872824649,-0.0962985319371585,0.0922468224448357,0.57648494547726
"pa_kab",-0.22364132668698,0.161735472971371,0.395841137597128,0.639566613844415,1.13268317815163
"pa_min",-0.30017392249563,0.10665999676768,0.296215674079186,0.487267316335591,0.894923753436188
"pa_pse",-0.500589109662605,-0.0854102006938158,0.106967608371456,0.299232575911211,0.68320837248475
"pa_ther",-0.406483624858829,-0.0413841797661168,0.134691658989923,0.317629253549728,0.72049539439379
"prv",-0.637181385124557,-0.0999732146092978,0.121319811364382,0.379196748538453,1.60587940153178
"pspv",-0.281016588884122,0.0274173185414507,0.1765750624006,0.329894174187411,0.674398012857566
"Qin",-0.913803645352322,-0.490159433057833,-0.282302755454827,-0.058220110483405,0.622968841004071
"Rhabdo3_virus",-0.600878975819616,-0.0117642646764915,0.235070566800781,0.513867188815431,1.50432116801845
"rib",-0.390480041867867,-0.216535743096839,-0.130477558334745,-0.0428676240179239,0.168423647247853
"richness",-0.356432025991705,-0.193417111806675,-0.112674783054518,-0.0291451116146159,0.143033969270345
"rlo",-0.471638961322534,-0.159162284981111,0.00833871650737574,0.196721307328732,0.68420378172713
"sch",-0.355444204921439,-0.0301501644700042,0.122559260562287,0.263005645807087,0.576042675108316
"sp_des",-0.212197841171292,0.167939736211456,0.319569738007616,0.476034286847753,0.945714778573097
"te_bry",-0.631365949732586,-0.274088391674042,-0.122573383220426,0.0327609281796493,0.375934955147624
"te_mar",-0.607439100101543,-0.208190596468696,-0.0113758319879495,0.194264303633311,0.648668886897631
"ven",-0.563748555534066,-0.174660064016157,0.015557570987483,0.200019539236837,0.596559530265881
