"","agent","mean.sw","sd.sw","median.sw","lci.sw","mlci.sw","clci.sw","cuci.sw","muci.sw","uci.sw","path_pp.sw","sst_pp_sw","mean.fw","sd.fw","median.fw","lci.fw","mlci.fw","clci.fw","cuci.fw","muci.fw","uci.fw","path_pp.fw","lwr.sw","midlwr.sw","mid.sw","midupp.sw","upp.sw","SW_prev","prop0.sw","lwr.fw","midlwr.fw","mid.fw","midupp.fw","upp.fw","FW_prev","prop0.fw","plot.agent"
"1","arena2",-0.0203067683042319,0.0239234989972273,-0.0163152922866089,-0.0789826984993643,-0.0298188930791039,-0.0210313685755453,-0.0127824191613139,-0.00751023910743659,0.0184946918664099,"0.893633333333333","0.9454",-0.0178752905401873,0.0116342256561587,-0.0168553364603504,-0.0427859550097639,-0.0254303896807168,-0.0199236490959129,-0.0138860677791493,-0.00917340606900279,0.000415821633458158,"0.970466666666667",-0.886904792651548,-0.368388017506473,-0.137029267256337,0.085407015997142,0.553430651168044,41,0.665,-0.665415489139103,-0.0533649054494906,0.16142362546934,0.367110240074817,0.966459783333442,12,0.298,"SPAV-2"
"2","c_b_cys",0.0208001865552443,0.0137372475616148,0.0201797310627459,-0.00355491224298742,0.011686670895064,0.0169453918149787,0.0234575524648628,0.0287679697281352,0.0498221553973759,"0.0437333333333333","0.993633333333333",-0.00547514155109292,0.00716665482904423,-0.00406662928853771,-0.022487545613914,-0.00929279669845954,-0.00583683241486181,-0.00259398373931375,-0.000814741635539716,0.00691446709757217,"0.836566666666667",-0.469430819097163,-0.162307900440025,0.00811937811579102,0.175836707362658,0.546507800063934,89,0.477,-0.410868920930534,-0.029343647270301,0.172222935040227,0.376545026563362,0.805674093098928,88,0.2775,"Ca. B. cysticola"
"3","ce_sha",0.00136037297061069,0.0211904157909289,0.00173659449999671,-0.0385685834086434,-0.00717501718341379,-0.00115256256683958,0.00484421358021256,0.0109351120242108,0.0378063266078787,"0.437866666666667","0.998833333333333",0.0321547536252622,0.0234008841401525,0.0309455091408382,-0.0056534101295068,0.0136815166245855,0.0241491321043694,0.0377009248059706,0.0482651085321214,0.0804612828449556,"0.0665666666666667",-0.437034062976083,-0.131275322900143,0.0206778531217187,0.175061049019221,0.52376676612006,6,0.4475,-0.637308513723367,-0.055819315731831,0.196893052339389,0.502194808824767,1.5106842880978,3,0.2835,"C. shasta"
"4","Circo.virus",0.0148474240146496,1.16837148730272,0.02338694799194,-2.57330299008911,-0.498167410237273,-0.105102985097536,0.153062693799787,0.530089465739839,2.56647062985327,"0.474033333333333","0.9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.05327506709682,-0.542203829849241,-0.301922113065036,-0.0540063683574711,0.674767887721134,1,0.777,NA,NA,NA,NA,NA,2,NA,"Circovirus"
"5","de_sal",0.0104078070395415,0.179821222426788,0.00907479855170243,-0.311922158677866,-0.0194420316363554,0.000150414382834792,0.019512179534764,0.0418815468094112,0.332540460302095,"0.3987","0.993533333333333",2.36944259742019e-05,0.0160324837383179,-0.00143978795674224,-0.0299907999352123,-0.00808928059195461,-0.0034000866834264,-0.000165771362603374,0.00610089618603942,0.0397760695737414,"0.620466666666667",-0.312236973147698,0.0660936525660759,0.251692731203516,0.431733820532172,0.860909923840277,1,0.1745,-0.770725157069598,-0.328832429201698,-0.11849017082762,0.103502722585507,0.590589183079558,1,0.628,"D. salmonis"
"6","fl_psy",-0.00569020517445988,0.0548429053246337,-0.00175916334644096,-0.116497637873551,-0.0221131075327752,-0.00913032934904026,0.00407479684027966,0.0150954961713831,0.0834613007446715,"0.5302","0.9983",-0.00355389512436314,0.00724964573531149,-0.00282818142545865,-0.0195330845744659,-0.00723542900376922,-0.00421812829964946,-0.00165418538810667,-0.000210839794670998,0.0120846763161715,"0.7797",-0.501525564684872,-0.140062213461693,0.0236468785677216,0.187444822799922,0.561464398780934,2,0.4575,-0.650530449559436,-0.234665926735616,-0.0499858973681718,0.145433771405119,0.608965751249943,10,0.578,"F. psychrophilum"
"7","ic_hof",-0.00241399015624332,0.0253764984476464,-0.00593001010138631,-0.0424112171092348,-0.0160850545761836,-0.00976607634512521,-0.00180862523052023,0.00730813759924325,0.0580851531612371,"0.637766666666667","0.9979",-0.0360379716448357,0.0229112336219464,-0.0345756694203972,-0.0839748786573438,-0.0516634225310763,-0.0408405009361537,-0.0284727033949578,-0.0185596677809142,0.000892317373723679,"0.969333333333333",-0.616803386045613,-0.261837847803953,-0.0987854955496861,0.07304199100856,0.423396739533418,10,0.6315,-0.126063286997551,0.258836776530628,0.4446567092426,0.640883849465336,1.08984183630226,2,0.058,"I. hoferi"
"8","ic_mul",-0.0108608514993062,0.0340917275366717,-0.00967949029420468,-0.0834687197048414,-0.0276058499378627,-0.0158191477851896,-0.0037928123389809,0.00707696075620379,0.0550907086107746,"0.656633333333333","0.998166666666667",0.0103077071244631,0.00642774223089034,0.010138393065122,-0.000830167765661874,0.00560258458886467,0.00845960039080852,0.0117947807656534,0.0146420605544485,0.0232871733583507,"0.0432666666666667",-0.430842098267514,-0.137016116259483,0.0109931770957938,0.163705984788806,0.460314481202166,5,0.459,-0.770917499642869,-0.422846129620352,-0.236967481976128,-0.052349241181236,0.381174297022751,38,0.7975,"I. multifiliis"
"9","IcD",-0.00464808575916617,0.0145970879853909,-0.00328955619735576,-0.0344386950902647,-0.0122916285466766,-0.0063806009323524,-0.000738853900287649,0.00326893869835329,0.0218339977644433,"0.628833333333333","0.992866666666667",-0.0187943338073129,0.0115923516933387,-0.0177422159128832,-0.0438143384990882,-0.0263576515714707,-0.0209745161310733,-0.0147344152960165,-0.00996034480580523,-0.000477319943987931,"0.9839",-0.396444417750642,0.0436851697325757,0.220973422447046,0.392015853580746,0.743549138954042,80,0.201,-0.1583743615922,0.290871578170861,0.454749527001313,0.619289284358692,1.03069911743382,56,0.0585,"Ichthyobodo sp."
"10","ku_thy",-0.0210776667150835,0.0878073435634881,-0.0184379190954236,-0.167346154687725,-0.0479571053927167,-0.0285636479228278,-0.0086718330877707,0.00741121443783265,0.113617723480226,"0.687133333333333","0.998566666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.524049682096345,-0.235265996573283,-0.081241145741736,0.080793541415587,0.461138486359585,1,0.6405,NA,NA,NA,NA,NA,0,NA,"K. thyrsites"
