"","2007","2009","2010","2011","2012","2013","2014","2015"
"",16,21,27,21,6,0,1,0
"Bowron",0,0,0,0,1,0,0,0
"Central Coast",0,0,0,0,0,30,0,0
"Chilko",0,0,0,29,92,197,30,23
"Chilliwack",0,0,0,0,2,44,0,0
"Cultus",0,27,0,20,38,20,0,2
"Early Stuart",0,0,0,6,1,0,0,0
"Gates",0,0,0,0,11,40,0,25
"Harrison-Widgeon",0,0,0,0,1,0,0,0
"Late Shuswap",0,0,0,17,160,25,0,13
"Late Stuart",0,0,0,6,1,0,0,29
"Nahatlatch",0,0,0,0,3,8,0,0
"North Thompson",0,0,0,0,0,40,0,22
"Pitt",0,0,0,0,1,30,0,0
"Portage",0,0,0,0,5,30,0,0
"Quesnel",0,0,0,0,25,95,0,52
"Raft",0,0,0,0,1,16,0,29
"Scotch",0,0,0,0,22,0,0,0
"Seymour",0,0,0,2,19,0,0,0
"Stellako",0,0,0,2,6,47,0,20
"VI",0,0,0,0,50,34,0,0
"Weaver",0,0,0,0,1,0,0,26
