"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"",8,13,56,109,51,8,49,8,82,12
"Birkenhead",4,2,6,1,23,4,17,0,0,4
"Bowron",0,0,0,0,7,1,0,0,0,0
"Central Coast",1,3,2,4,9,2,0,0,0,2
"Chilko",26,62,75,31,510,51,72,20,12,12
"Chilliwack",0,13,0,0,9,26,0,1,0,8
"Cultus",0,0,1,1,2,2,0,0,0,1
"Early Stuart",2,4,25,1,1,8,18,1,1,2
"Gates",1,1,4,1,17,8,5,0,0,0
"Harrison-Lillooet",0,0,0,0,2,1,0,0,0,0
"Harrison-Widgeon",1,56,8,0,4,1,5,0,0,0
"Late Shuswap",15,6,19,215,29,1,93,78,0,0
"Late Stuart",0,1,17,0,0,7,10,3,0,0
"Nadina",0,2,4,3,0,25,7,0,0,3
"Nahatlatch",0,2,1,0,5,0,6,0,0,0
"North Thompson",1,1,5,1,33,5,11,0,0,0
"Pitt",0,6,1,1,47,14,32,0,0,1
"Portage",1,0,0,0,0,0,1,0,0,0
"Quesnel",3,8,20,18,38,0,158,32,0,0
"Raft",0,5,0,1,0,1,0,0,0,1
"Scotch",8,2,0,28,5,2,8,12,0,0
"Seymour",5,1,7,24,37,0,42,3,3,0
"South Coast",1,0,2,0,8,2,0,0,0,2
"Stellako",0,2,6,3,32,16,12,0,0,2
"US",3,12,8,1,6,5,3,0,0,6
"VI",0,1,1,2,19,14,0,0,0,0
"Weaver",0,1,3,1,0,0,4,0,0,1
