"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","arena1","arena2","ascv","c_b_cys","ce_sha","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","ku_thy","lo_sal","mo_vis","my_arc","my_ins","na_sal","ne_per","nu_sal","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","pisck_sal","prv","pspv","re_sal","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","ver","vhsv","vi_sal","ye_ruc","season2","Date2","jd","ocean_yr","jd2","mo_yr","fl","ref_date","day","SST","temp_devs","jaz"
"1","1000-0020-118-2443",NA,"HS","SW",2009,"6/24/09",175,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Summer",157,42,NA,NA,"","Northern","Northern",52.483,-130.504,"Gill","","AvgCopy",7.17e-11,NA,NA,NA,2633070.542,0,NA,0,NA,0,0,0,0,0,0,0,0.75336237,NA,0,0,0,0,0,0,0,4579912.651,137.2812853,0,0,0.260116319,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,NA,"SpSu",2009-06-24 03:00:00,"175",2009,"175","2009-06",157,"2009-06",24,11.9777150344849,0.156898787816363,"MFR+GStr"
"2","1000-0020-118-2442",NA,"HS","SW",2009,"6/24/09",175,NA,"Pitt","Pitt","Lower Fraser","Lower Fraser","Fraser","Summer",148,35,NA,NA,"","Northern","Northern",52.483,-130.504,"Gill","","AvgCopy",1.58e-10,NA,NA,NA,921.4694503,17.40180695,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,277.5249721,0,0,0,0.185780134,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,NA,"SpSu",2009-06-24 03:00:00,"175",2009,"175","2009-06",148,"2009-06",24,11.9777150344849,0.156898787816363,"LFR+GStr"
"3","1000-0020-118-2424",0,"HS","SW",2009,"6/24/09",175,281,"Birkenhead","Birkenhead","Lower Fraser","Lower Fraser","Fraser","Summer",168,49,1.033399471,-2.985731765,"","Northern","Northern",52.313,-129.725,"Mixed","NO","AvgCopy",2.195914054,0,0,0,24.33746253,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,9887.832261,0.33034339,0,0,0,0.735680899,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2009-06-24 03:00:00,"175",2009,"175","2009-06",168,"2009-06",24,12.0429759979248,0.174195933341981,"LILL+GStr"
"4","1000-0020-118-2428",0,"HS","SW",2009,"6/24/09",175,281,"Gates Cr","Gates","Middle Fraser","Middle Fraser","Fraser","Summer",157,38,0.981939294,-3.007915361,"","Northern","Northern",52.313,-129.725,"Mixed","NO","AvgCopy",121.5330876,0,0,0,37.26973096,0,0,0,0,0,0,0,0,0,0,0,4.680360817,NA,3704.940877,0,0,0,NA,0,0,663.9281732,0,0,0,0,83.00322457,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2009-06-24 03:00:00,"175",2009,"175","2009-06",157,"2009-06",24,12.0429759979248,0.174195933341981,"MFR+GStr"
"5","1000-0020-118-2427",0,"HS","SW",2009,"6/24/09",175,281,"Stellako","Stellako","Upper Fraser","Upper Fraser","Fraser","Summer",160,40,0.9765625,-3.010299957,"","Northern","Northern",52.313,-129.725,"Mixed","NO","AvgCopy",2775.445984,0,0,0,39.82655303,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,65.10993746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2009-06-24 03:00:00,"175",2009,"175","2009-06",160,"2009-06",24,12.0429759979248,0.174195933341981,"MFR+GStr"
"6","1000-0020-118-2441",0,"HS","SW",2009,"6/24/09",175,281,"Weaver","Weaver","Lower Fraser","Lower Fraser","Fraser","Summer",150,39,1.155555556,-2.93720917,"","Northern","Northern",52.483,-130.504,"Mixed","NO","AvgCopy",0.033757937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,119834.1617,0,0,0,NA,0,44580.7772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2009-06-24 03:00:00,"175",2009,"175","2009-06",150,"2009-06",24,11.9777150344849,0.156898787816363,"LFR+GStr"
"7","1000-0020-118-2440",0,"HS","SW",2009,"6/24/09",175,281,"Weaver","Weaver","Lower Fraser","Lower Fraser","Fraser","Summer",163,46,1.062172415,-2.973804982,"","Northern","Northern",52.483,-130.504,"Mixed","NO","AvgCopy",375.5131244,0,0,0,10.80675631,10.25229163,0,0,0,0,0,0,0,0,0,0,0,NA,299009.7856,0,0,0,NA,0,7410.436914,254.5481204,0,0,0,0,0,0,0,0,0.540287296,0,0,0,0,0,0,0,0,NA,"SpSu",2009-06-24 03:00:00,"175",2009,"175","2009-06",163,"2009-06",24,11.9777150344849,0.156898787816363,"LFR+GStr"
"8","1000-0026-118-7867",0,"HS","SW",2011,"6/24/11",175,1011,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",138,26,0.989318405,-3.004663911,"M","Northern","ECVI",52.204,-129.159,"Mixed","NO","AvgCopy",339588.8105,0,0,0,235004.3331,0,0,0,0,0,0,0,0,0,0,0,0,NA,473187.6825,0,0,0,NA,0,0,13.92257121,0,0,0,0,5772.259225,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-24 03:00:00,"175",2011,"175","2011-06",138,"2011-06",24,12.0689962005615,-0.024225470225014,"MFR+GStr"
"9","1000-0026-118-7868",0,"HS","SW",2011,"6/24/11",175,1011,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",146,28,0.899703612,-3.045900536,"M","Northern","ECVI",52.204,-129.159,"Mixed","NO","AvgCopy",0.000822257,0,0,0,39473.28876,0,0,0,0,0,0,0,0,0,0,0,0,NA,4047260.295,0,0,0,NA,138.4284879,0,15039.00828,103.7275853,0,0,0,3131.620705,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-24 03:00:00,"175",2011,"175","2011-06",146,"2011-06",24,12.0689962005615,-0.024225470225014,"MFR+GStr"
"10","1000-0026-118-7870",0,"HS","SW",2011,"6/24/11",175,1011,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",148,31,0.956261228,-3.019423452,"M","Northern","ECVI",52.204,-129.159,"Mixed","NO","AvgCopy",1e+100,0,0,0,7.014343817,0,0,0,0,0,0,0,0,0,0,0,0,NA,5818.910258,0,0,0,NA,0,0,0,0,0,0,0,0.936672137,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-24 03:00:00,"175",2011,"175","2011-06",148,"2011-06",24,12.0689962005615,-0.024225470225014,"MFR+GStr"
