Latitude	Longitude
52.483	-130.504
52.483	-130.504
52.313	-129.725
52.313	-129.725
52.313	-129.725
52.483	-130.504
52.483	-130.504
52.204	-129.159
52.204	-129.159
52.204	-129.159
51.909	-128.595
53.227	-130.951
53.227	-130.951
52.33	-129.697
52.33	-129.697
52.33	-129.697
52.33	-129.697
52.262	-129.44
52.262	-129.44
52.262	-129.44
53.486	-131.005
53.486	-131.005
53.486	-131.005
53.355	-131.063
53.486	-131.005
52.89	-129.913
52.877	-130.132
53.125	-130.203
52.89	-129.913
53.125	-130.203
52.877	-130.132
52.877	-130.132
52.947	-128.99
51.736	-128.447
51.736	-128.447
52.947	-128.99
51.736	-128.447
51.736	-128.447
51.736	-128.447
52.947	-128.99
52.319	-129.705
52.319	-129.705
52.319	-129.705
54.443	-131.398
54.433	-131.218
54.443	-131.398
54.443	-131.398
52.486	-130.496
52.486	-130.496
52.55	-130.75
52.314	-129.693
52.486	-130.496
52.55	-130.75
52.486	-130.496
52.365	-129.97
52.365	-129.97
52.314	-129.693
52.314	-129.693
52.835	-130.885
53.905	-130.895
53.905	-130.895
53.97	-130.93
52.209	-129.201
52.209	-129.201
52.209	-129.201
52.267	-129.469
52.209	-129.201
52.267	-129.469
52.209	-129.201
52.209	-129.201
52.209	-129.201
52.209	-129.201
52.209	-129.201
53.683	-133.093
53.683	-133.093
53.799	-133.209
53.042	-132.545
54.448	-131.418
54.42	-131.048
54.438	-131.238
53.685	-133.095
53.685	-133.095
53.685	-133.095
54.438	-131.238
54.438	-131.238
53.685	-133.095
54.448	-131.418
53.685	-133.095
53.24	-132.792
53.448	-132.979
53.24	-132.792
53.24	-132.792
53.356	-132.762
53.448	-132.979
53.24	-132.792
53.24	-132.792
51.968	-131.142
51.968	-131.142
51.968	-131.142
51.968	-131.142
53.253	-132.767
52.877	-132.325
53.253	-132.767
53.456	-132.982
52.78	-132.203
53.108	-132.615
52.877	-132.325
52.877	-132.325
53.108	-132.615
53.253	-132.767
53.253	-132.767
53.253	-132.767
52.877	-132.325
52.78	-132.203
53.456	-132.982
53.108	-132.615
52.78	-132.203
53.108	-132.615
53.108	-132.615
52.251	-131.488
51.908	-127.879
51.886	-130.712
51.509	-127.875
51.509	-127.875
52.331	-129.729
52.331	-129.729
52.525	-130.788
52.525	-130.788
52.525	-130.788
52.525	-130.788
