"","ID","Longitude","Latitude","X","Y","start_loc1","Phillips Arm","Lees Bay","Cliff Bay","Conville Bay","Dunsterville","Port Elizabeth","Larsen Island","Okisollo","Yellow Island","Vantage","St Vincent Bay","Glacial Creek","Raza Island","Venture Point","Salten","Bickley Bay","Thurlow","Sonora Point","Brougham Point","Kunechin","Site 9","Doctor Bay","Cypress Harbour","Swanson","Arrow Pass","Midsummer","Read Island","Frederick Arm","Newcomb","Hardy Bay","Sir Edmund Bay","Cyrus Rock","Upper Retreat","Site 13","Young Pass","Chancellor Channel","Cecil Island","Wicklow Point","Glacier Falls","Shelter Pass","Maude Island","Barnes Bay","Lochalsh Bay","Bell Island","Sargeaunt Pass","Shaw Point","Burdwood","Potts Bay","Far Side","Egerton Creek","Raynor","Doyle Island","Duncan Island","Althorpe","Wehlis Bay","Simmonds Point","Shelter Bay","Marsh Bay","Robertson","Brent Island","Jackson Passage","Hardwicke","Doctor Islets","Humphrey Rock","Kid Bay","Culloden","Ahlstrom","Goat Cove","Noo-la","Wa-kwa","Sheep Passage","Lime Point","Ghi ya","Wanx talis","Tsa-ya","Cougar","Alexander","Jackson Pass","Middle Point","Conville Point"
"1","start_loc1",-123.206,49.1491,-123.206,49.1491,0,218132.280899111,241941.270231694,323324.303915513,183320.175506522,179432.203430016,303021.851365311,310989.52430764,204616.128984188,190467.385260743,86550.8300869061,106538.303084197,120188.632069212,188555.524741756,206203.163803054,84412.6460708674,219981.015850261,217132.705139893,214403.482299282,218600.062200373,85052.1424423966,89492.7797099124,181716.012185422,334393.771248515,312054.50596427,321439.624862752,315724.927231444,180318.365062979,210784.567417196,73047.4730482753,365082.883204651,329065.213741708,193797.288368434,320257.017111267,84254.9640701949,219865.090930657,239404.198988666,337930.268831324,328610.380279035,318853.671018843,374069.969304305,340924.063643432,201928.645556672,578643.406432612,372828.747401201,299552.945185282,257160.735753779,321966.714752608,314349.406043743,211989.809240138,210748.800949817,360507.505920174,369891.021327773,374616.67222899,251712.527832798,343727.843026462,345354.659307958,376898.75862048,366221.000321979,372435.217501868,207482.723819178,575794.312733421,241177.76662957,296779.147868777,299385.365817328,602947.875745349,108118.479151348,106089.146383125,601009.167921265,295588.036627026,294594.576261802,608838.933867994,607627.246607222,402756.237249731,399920.930972554,293439.037645585,593803.936639248,589206.512329729,575932.234236038,185947.655966874,184245.484930443
"2","samp_loc1",-124.342,48.473,-124.342,48.473,164748.978673552,364651.525119342,385878.848546495,465043.352456795,328347.570840867,324459.598764361,444740.899906592,452708.572848921,349643.524318533,332186.433802024,250497.769670235,256442.373718642,282402.957608788,335074.768961987,351230.559137399,248359.585654197,366500.260070492,363651.949360124,360922.726519513,360319.110741654,248999.082025726,253439.719293242,328235.256405653,476112.819789797,453773.554505552,463158.673404033,457443.975772726,325345.760397324,357303.811637427,236994.412631604,474942.955369269,470784.262282989,338824.68370278,461976.065652548,248201.903653524,361584.139471939,383341.777303466,479649.317372606,470329.428820316,460572.719560125,467961.294765485,482643.112184713,346956.040891017,602917.237828505,466076.329203439,441271.993726563,398879.78429506,463685.763293889,456068.454585024,358509.053460369,357268.045170048,485107.471802099,468770.37136758,463934.882522257,393431.57637408,485446.891567744,487073.70784924,471584.30249824,478774.8970052,473160.630987152,350242.840531154,600068.144129313,382896.815170851,438498.196410059,441104.41435861,627221.707141242,256603.5464773,253861.624812238,625282.999317158,437307.085168307,436313.624803083,633112.765263886,631901.078003114,436788.948185966,440373.346484532,435158.086186867,618077.768035141,613480.343725621,600206.065631931,327666.704508156,329272.880264788
"3","samp_loc2",-126.579,49.329,-126.579,49.329,354543.879329346,442323.394351472,416060.60164973,349003.346135255,468028.994753969,471943.132497412,355528.156261738,344450.02959952,446783.991893765,458897.78861481,440292.670326029,446237.274374435,472197.858264581,469846.110672522,445084.021957105,438154.48630999,437908.304218515,445326.846020654,446782.174804872,440453.90311018,438793.982681519,443234.619949035,490517.836127755,337628.236943223,339091.358399909,339155.189617214,340493.752272184,470962.161617029,447505.790584231,426789.313287398,285975.10899601,342979.21149817,457830.299458632,345396.41411451,437996.804309317,442516.576166455,418688.513980283,334176.0376183,336507.084421208,363343.895758963,278993.448392226,331313.050541878,451010.950754901,413949.391455245,277108.482830179,374910.370323819,401740.884435886,350335.949978165,343802.726791932,446156.341765548,447524.795392629,296139.62542884,279802.524994321,274967.036148998,407011.455621659,320834.615258916,323018.267541813,282616.456124981,289807.050631941,284192.784613893,444223.875489262,411100.297756054,411112.821002986,367283.02846537,373519.812957759,438253.860767983,446398.447133093,443656.525468031,436315.152943899,364679.232136618,365421.670530706,444144.918890627,442933.231629855,247821.101812707,251405.500111273,365228.153000296,429109.921661882,424512.497352362,411238.219258672,463391.4666175,467026.512729871
"4","samp_loc3",-128.319,51.393,-128.319,51.393,453458.148032605,246539.450866705,220276.658164963,148601.744434,272245.051269202,276159.189012645,157198.426342236,147676.781209162,251000.048408998,263113.845130043,389120.125698214,371390.924393078,403810.959509774,274062.167187754,249300.078472338,395645.814655048,242124.360733748,249542.902535887,250998.231320105,244669.959625412,397195.826211669,401636.463479185,294733.892642987,137226.635241968,142426.971518301,139898.828740126,142522.377116777,275178.218132262,251721.847099464,401270.137234441,95411.226209913,142577.609796915,262046.355973864,145604.732744383,394080.665330997,246732.632681687,222904.570495515,133774.435917044,136436.200547679,162942.294057708,80542.5070770015,130911.448840622,255227.007270134,134512.419049644,83757.6777375409,175003.50033639,205956.940951118,150265.066104636,145744.222337181,250372.398280781,251740.851907861,93623.1633514248,86815.6794898153,83238.2202173551,211227.512136891,120433.013557661,122616.665840558,76913.7144717801,87260.2336733246,81039.8825218667,248439.932004495,131663.325350453,215328.877518218,167376.158428467,173612.942970329,158816.888362382,365568.210891919,361351.901074006,156878.180538298,167495.875758868,167781.173074341,164707.946485026,163496.259224254,62579.1912194364,63596.3868033008,166898.423080794,149672.949256281,145075.524946761,131801.246853071,267607.523132733,271242.569245104
"5","samp_loc4",-129.725,52.313,-129.725,52.313,593831.356357703,386912.659191802,360649.86649006,288974.952759098,412618.2595943,416532.397337742,297571.634667334,288049.98953426,391373.256734095,403487.053455141,529493.334023311,511764.132718176,544184.167834872,414435.375512852,389673.286797436,536019.022980146,382497.569058846,389916.110860984,391371.439645202,385043.16795051,537569.034536766,542009.671804282,435107.100968085,277599.843567066,282800.179843399,280272.037065224,282895.585441875,415551.42645736,392095.055424562,541643.345559539,236285.377768646,282950.818122013,402419.564298962,285977.941069481,534453.873656095,387105.841006785,363277.778820613,274147.644242142,276809.408872776,303315.502382806,221414.296887903,271284.65716572,395600.215595232,105728.959852357,224686.518491092,315376.708661487,346330.149276216,290638.274429733,286117.430662278,390745.606605879,392114.060232959,233996.371676522,227747.047714869,224116.338710003,351600.720461989,260806.221882758,262989.874165655,217241.146773851,227633.441998422,221449.375940808,388813.140329593,102879.866153166,355702.085843316,307749.366753565,313986.151295427,129904.48882832,505941.419217016,501725.109399104,127965.781004235,307869.084083966,308154.381399438,135795.546950964,134583.859690192,201101.56095564,203587.987927914,307271.631405891,120760.549722219,116163.125412699,103017.787655784,407980.73145783,411615.777570202
"6","samp_loc5",-130.504,52.483,-130.504,52.483,646536.405802086,439617.708636185,413354.915934443,341680.002203481,465323.309038683,469237.446782125,350276.684111717,340755.038978643,444078.306178478,456192.102899524,582198.383467694,564469.182162559,596889.217279255,467140.424957235,442378.336241819,588724.072424529,435202.618503229,442621.160305367,444076.489089585,437748.217394893,590274.083981149,594714.721248665,487812.150412468,330304.893011449,335505.229287782,332977.086509607,335600.634886258,468256.475901743,444800.104868945,594348.395003922,287578.950922532,335655.867566396,455124.613743345,338682.990513864,587158.923100478,439810.890451168,415982.828264996,326852.693686525,329514.45831716,356020.551827189,273451.550844457,323989.706610103,448305.265039615,156125.37202591,276271.81244235,368081.75810587,399035.198720599,343343.323874116,338822.480106661,443450.656050262,444819.109677342,286701.421120905,279358.360048095,275448.359199213,404305.769906372,313511.271327141,315694.923610038,269978.044315528,280338.491442805,274124.441577272,441518.189773976,153276.278326719,408407.135287699,360454.416197948,366691.20073981,180300.901001872,558646.468661399,554430.158843487,178362.193177788,360574.133528349,360859.430843821,186191.959124517,184980.271863745,250727.945357834,253714.855819989,359976.680850274,171156.961895772,166559.537586252,153414.199829337,460685.780902213,464320.827014585
"7","samp_loc6",-130.951,53.227,-130.951,53.227,724090.320030876,517171.622864975,490908.830163233,419233.91643227,542877.223267472,546791.361010914,427830.598340506,418308.953207432,521632.220407268,533746.017128313,659752.297696484,642023.096391348,674443.131508044,544694.339186025,519932.250470608,666277.986653318,512756.532732018,520175.074534157,521630.403318375,515302.131623682,667827.998209939,672268.635477454,565366.064641257,407858.807240238,413059.143516571,410531.000738396,413154.549115047,545810.390130532,522354.019097734,671902.309232711,367164.853391354,413209.781795185,532678.527972134,416236.904742653,664712.837329267,517364.804679957,493536.742493785,404406.607915314,407068.372545949,433574.466055978,352024.175256885,401543.620838892,525859.179268404,210201.837842307,355476.56787483,445635.67233466,476589.112949388,420897.238102906,416376.39433545,521004.570279051,522373.023906131,364255.335349695,358521.386100072,354991.871371933,481859.684135161,391065.185555931,393248.837838828,347499.42906511,357892.405671595,351697.550520851,519072.104002765,207352.744143116,485961.049516488,438008.330426737,444245.114968599,210625.821078702,636200.382890189,631984.073072276,210973.532946275,438128.047757138,438413.345072611,216506.691562993,215571.375093075,332215.078812201,334665.914786814,437530.595079064,217207.276863257,220636.003402649,207490.665645734,538239.695131003,541874.741243374
"8","samp_loc7",-133.209,53.799,-133.209,53.799,901295.426771647,694376.729605746,668113.936904004,597521.1169238,720082.330008243,723996.467751686,606099.059904357,596081.713810973,698837.327148039,710951.123869084,836957.404437255,819228.203132119,851648.238248815,721899.445926796,697137.357211379,843483.093394089,689961.639472789,697380.181274928,698835.510059146,692507.238364454,845033.10495071,849473.742218226,742571.171382029,586146.007731767,590731.149758747,588814.625372086,591324.916523972,723015.496871303,699559.125838505,849107.415973483,539022.697686797,591496.982286714,709883.634712906,594524.105234183,841917.944070039,694569.911420729,670741.849234556,582693.808406844,585355.573037478,611861.666547508,527258.739465736,579830.821330422,703064.286009175,443563.090285813,528748.322895342,623922.872826189,653794.219690159,599184.438594435,594584.190261918,698209.677019822,699578.130646903,542550.719541122,531821.686379118,527683.97668487,659064.790875932,569352.38604746,571536.038330357,526167.768492706,536151.379609451,529821.699356159,696277.210743536,440713.996586622,663166.156257259,616295.530918266,622532.315460128,421955.37859006,813405.48963096,809189.179813048,422303.090457633,616148.408795479,616681.806636462,427836.249074352,426900.932604433,499601.482490584,502588.392952739,615799.056642915,428536.834374615,433315.360109546,440851.918089239,715444.801871774,719079.847984145
"9","samp_loc8",-133.093,53.683,-133.093,53.683,886291.223128232,679372.525962331,653109.733260589,582516.913280385,705078.126364829,708992.264108271,591094.856260943,581077.510167558,683833.123504624,695946.92022567,821953.20079384,804223.999488705,836644.034605401,706895.242283381,682133.153567965,828478.889750675,674957.435829374,682375.977631513,683831.306415731,677503.034721039,830028.901307296,834469.538574811,727566.967738614,571141.804088353,575726.946115333,573810.421728672,576320.712880557,708011.293227889,684554.922195091,834103.212330068,524018.494043383,576492.7786433,694879.431069491,579519.901590768,826913.740426624,679565.707777314,655737.645591142,567689.604763429,570351.369394064,596857.462904093,512254.535822321,564826.617687007,688060.082365761,428558.886642398,513744.119251927,608918.669182774,638790.016046745,584180.23495102,579579.986618503,683205.473376408,684573.927003488,527546.515897707,516817.482735704,512679.773041455,644060.587232518,554348.182404045,556531.834686942,511163.564849291,521147.175966036,514817.495712744,681273.007100122,425709.792943207,648161.952613845,601291.327274852,607528.111816714,434863.184205742,798401.285987546,794184.976169633,435210.896073315,601144.205152064,601677.602993047,440744.054690033,439808.738220115,484597.278847169,487584.189309325,600794.8529995,441444.639990297,438993.05220274,425847.714445824,700440.59822836,704075.644340731
"10","samp_loc9",-132.979,53.448,-132.979,53.448,859902.621033184,652983.923867283,626721.131165541,556128.311185337,678689.524269781,682603.662013223,564706.254165895,554688.908072511,657444.521409576,669558.318130622,795564.598698793,777835.397393657,810255.432510353,680506.640188333,655744.551472917,802090.287655627,648568.833734327,655987.375536465,657442.704320683,651114.432625991,803640.299212248,808080.936479763,701178.365643566,544753.201993305,549338.344020285,547421.819633624,549932.11078551,681622.691132841,658166.320100043,807714.61023502,497629.891948335,550104.176548252,668490.828974443,553131.29949572,800525.138331576,653177.105682266,629349.043496094,541301.002668381,543962.767299016,570468.860809045,485865.933727274,538438.015591959,661671.480270713,402170.28454735,487355.517156879,582530.067087726,612401.413951697,557791.632855973,553191.384523456,656816.87128136,658185.32490844,501157.913802659,490428.880640656,486291.170946407,617671.98513747,527959.580308997,530143.232591895,484774.962754244,494758.573870989,488428.893617697,654884.405005074,399321.190848159,621773.350518797,574902.725179804,581139.509721666,426345.813523312,772012.683892498,767796.374074585,424407.105699228,574755.603057016,575289.000898,432236.871645957,431025.184385185,458208.676752121,461195.587214277,574406.250904452,417201.874417211,412604.450107692,399459.112350777,674051.996133312,677687.042245683
"11","samp_loc10",-132.762,53.356,-132.762,53.356,844102.814926231,637184.11776033,610921.325058588,540328.505078384,662889.718162827,666803.85590627,548906.448058942,538889.101965557,641644.715302623,653758.512023669,779764.792591839,762035.591286703,794455.6264034,664706.83408138,639944.745365963,786290.481548673,632769.027627373,640187.569429512,641642.89821373,635314.626519038,787840.493105294,792281.13037281,685378.559536613,528953.395886352,533538.537913331,531622.01352667,534132.304678556,665822.885025887,642366.513993089,791914.804128067,481830.085841381,534304.370441298,652691.02286749,537331.493388767,784725.332224623,637377.299575313,613549.237389141,525501.196561428,528162.961192062,554669.054702092,470066.12762032,522638.209485006,645871.674163759,386370.478440397,471555.711049926,566730.260980773,596601.607844744,541991.826749019,537391.578416502,641017.065174406,642385.518801487,485358.107695706,474629.074533702,470491.364839454,601872.179030517,512159.774202044,514343.426484941,468975.15664729,478958.767764035,472629.087510743,639084.59889812,383521.384741206,605973.544411844,559102.91907285,565339.703614713,410546.007416359,756212.877785544,751996.567967632,408607.299592275,558955.796950063,559489.194791046,416437.065539003,415225.378278232,442408.870645168,445395.781107324,558606.444797499,401402.068310258,396804.644000739,383659.306243823,658252.190026358,661887.236138729
